area_da_propriedade__hectares__,regional_,usa_agrotoxicos_,Record Count
20 - 50 ha,Araguaina,Sim,95
20 - 50 ha,Araguatins,Sim,72
20 - 50 ha,Paraiso,Não,70
20 - 50 ha,Paraiso,Sim,65
20 - 50 ha,Gurupi,Não,53
20 - 50 ha,Miracema,Sim,50
20 - 50 ha,Gurupi,Sim,36
20 - 50 ha,Taguatinga,Não,35
20 - 50 ha,Porto,Não,34
50 - 100 ha,Paraiso,Sim,28
50 - 100 ha,Paraiso,Não,28
10 - 20 ha,Araguatins,Sim,28
50 - 100 ha,Araguaina,Sim,25
100 - 200 ha,Paraiso,Sim,21
50 - 100 ha,Taguatinga,Não,21
20 - 50 ha,Araguaina,Não,21
50 - 100 ha,Miracema,Sim,21
10 - 20 ha,Araguaina,Não,20
20 - 50 ha,Araguatins,Não,19
10 - 20 ha,Paraiso,Não,19
1 - 5 ha,Araguatins,Sim,19
10 - 20 ha,Miracema,Não,19
10 - 20 ha,Araguaina,Sim,17
10 - 20 ha,Taguatinga,Não,17
10 - 20 ha,Paraiso,Sim,16
20 - 50 ha,Miracema,Não,16
50 - 100 ha,Araguaina,Não,15
Até 1 ha,Araguatins,Sim,14
1 - 5 ha,Araguaina,Não,13
1 - 5 ha,Paraiso,Não,13
5 - 10 ha,Miracema,Não,12
1 - 5 ha,Paraiso,Sim,12
5 - 10 ha,Araguaina,Sim,12
10 - 20 ha,Miracema,Sim,12
1 - 5 ha,Taguatinga,Não,11
20 - 50 ha,Colinas,Sim,11
1 - 5 ha,Miracema,Não,11
5 - 10 ha,Miracema,Sim,10
100 - 200 ha,Taguatinga,Não,10
5 - 10 ha,Araguatins,Sim,10
10 - 20 ha,Gurupi,Não,10
50 - 100 ha,Gurupi,Não,10
10 - 20 ha,Porto,Não,10
20 - 50 ha,Porto,Sim,10
20 - 50 ha,Taguatinga,Sim,10
Até 1 ha,Paraiso,Não,9
100 - 200 ha,Paraiso,Não,9
5 - 10 ha,Paraiso,Sim,8
10 - 20 ha,Colinas,Sim,8
1 - 5 ha,Porto,Não,8
50 - 100 ha,Araguatins,Sim,8
1 - 5 ha,Araguaina,Sim,8
Até 1 ha,Porto,Não,7
5 - 10 ha,Taguatinga,Não,7
1 - 5 ha,Taguatinga,Sim,7
1 - 5 ha,Miracema,Sim,7
10 - 20 ha,Taguatinga,Sim,6
50 - 100 ha,Gurupi,Sim,6
10 - 20 ha,Gurupi,Sim,6
50 - 100 ha,Colinas,Sim,6
5 - 10 ha,Paraiso,Não,6
50 - 100 ha,Porto,Sim,6
50 - 100 ha,Porto,Não,5
5 - 10 ha,Colinas,Sim,5
5 - 10 ha,Taguatinga,Sim,5
200 - 320 ha,Paraiso,Não,5
Até 1 ha,Araguatins,Não,4
100 - 200 ha,Gurupi,Sim,4
100 - 200 ha,Miracema,Não,4
100 - 200 ha,Miracema,Sim,4
1 - 5 ha,Gurupi,Não,4
200 - 320 ha,Taguatinga,Sim,4
50 - 100 ha,Colinas,Não,4
50 - 100 ha,Taguatinga,Sim,4
5 - 10 ha,Araguatins,Não,4
1 - 5 ha,Colinas,Sim,4
50 - 100 ha,Miracema,Não,4
10 - 20 ha,Porto,Sim,3
5 - 10 ha,Gurupi,Não,3
100 - 200 ha,Araguaina,Sim,3
5 - 10 ha,Porto,Sim,3
Até 1 ha,Taguatinga,Não,3
100 - 200 ha,Taguatinga,Sim,3
1 - 5 ha,Porto,Sim,3
200 - 320 ha,Araguaina,Sim,3
5 - 10 ha,Porto,Não,2
100 - 200 ha,Colinas,Sim,2
1 - 5 ha,Araguatins,Não,2
Até 1 ha,Araguaina,Sim,2
Acima de 320 ha,Colinas,Sim,2
100 - 200 ha,Araguatins,Sim,2
200 - 320 ha,Taguatinga,Não,2
Até 1 ha,Araguaina,Não,2
Acima de 320 ha,Paraiso,Não,1
Até 1 ha,Paraiso,Sim,1
100 - 200 ha,Araguaina,Não,1
200 - 320 ha,Gurupi,Não,1
5 - 10 ha,Gurupi,Sim,1
10 - 20 ha,Araguatins,Não,1
200 - 320 ha,Gurupi,Sim,1
Até 1 ha,Miracema,Não,1
200 - 320 ha,Miracema,Não,1
100 - 200 ha,Araguatins,Não,1
5 - 10 ha,Araguaina,Não,1
20 - 50 ha,Colinas,Não,1
10 - 20 ha,Colinas,Não,1
Acima de 320 ha,Araguatins,Sim,1
100 - 200 ha,Porto,Sim,1
200 - 320 ha,Paraiso,Sim,1
50 - 100 ha,Araguatins,Não,1
100 - 200 ha,Gurupi,Não,1
Até 1 ha,Gurupi,Sim,1
100 - 200 ha,Porto,Não,1