area_da_propriedade__hectares__,regional_,uso_de_praticas_sustentaveis_,Record Count
20 - 50 ha,Araguaina,Aceiros,26
20 - 50 ha,Gurupi,Aceiros,24
20 - 50 ha,Paraiso,Aceiros,21
20 - 50 ha,Paraiso,Não Usa,17
20 - 50 ha,Araguaina,"Aceiros, Calagem, Adubação",15
20 - 50 ha,Paraiso,"Aceiros, Calagem, Adubação",14
10 - 20 ha,Araguaina,Aceiros,14
20 - 50 ha,Paraiso,"Aceiros, Adubação",13
20 - 50 ha,Araguaina,"Aceiros, Recuperação de pastagens",12
50 - 100 ha,Paraiso,Aceiros,12
20 - 50 ha,Porto,Aceiros,12
50 - 100 ha,Paraiso,Não Usa,12
20 - 50 ha,Gurupi,"Aceiros, Adubação",12
20 - 50 ha,Miracema,"Aceiros, Calagem, Adubação",11
20 - 50 ha,Gurupi,Não Usa,10
20 - 50 ha,Miracema,"Aceiros, Adubação",10
20 - 50 ha,Miracema,Aceiros,9
10 - 20 ha,Paraiso,Aceiros,8
20 - 50 ha,Porto,"Aceiros, Calagem, Adubação",8
20 - 50 ha,Araguaina,"Rotação de Cultura, Aceiros",8
20 - 50 ha,Araguatins,"Aceiros, Descarte correto de embalagens",8
5 - 10 ha,Miracema,Aceiros,7
50 - 100 ha,Paraiso,"Aceiros, Adubação",7
20 - 50 ha,Gurupi,"Aceiros, Calagem",7
10 - 20 ha,Miracema,Aceiros,6
100 - 200 ha,Paraiso,Aceiros,6
20 - 50 ha,Araguatins,"Aceiros, Recuperação de pastagens",6
20 - 50 ha,Taguatinga,Aceiros,6
Até 1 ha,Porto,Não Usa,6
20 - 50 ha,Araguatins,"Aceiros, Descarte correto de embalagens, Adubação",6
20 - 50 ha,Gurupi,"Aceiros, Calagem, Adubação",5
50 - 100 ha,Taguatinga,Aceiros,5
10 - 20 ha,Araguatins,Aceiros,5
50 - 100 ha,Colinas,"Aceiros, Calagem, Adubação",5
50 - 100 ha,Araguaina,"Aceiros, Calagem, Adubação",5
50 - 100 ha,Araguaina,Aceiros,5
20 - 50 ha,Araguatins,Aceiros,5
20 - 50 ha,Araguatins,"Aceiros, Adubação",5
50 - 100 ha,Gurupi,"Aceiros, Calagem",5
20 - 50 ha,Taguatinga,Rotação de Cultura,4
20 - 50 ha,Araguatins,"Aceiros, Consórcio",4
1 - 5 ha,Paraiso,Adubação verde,4
20 - 50 ha,Paraiso,"Aceiros, Calagem",4
50 - 100 ha,Miracema,"Aceiros, Calagem, Adubação",4
5 - 10 ha,Miracema,"Aceiros, Calagem, Adubação",4
20 - 50 ha,Paraiso,"Aceiros, Calagem, Recuperação de pastagens, Adubação",4
100 - 200 ha,Paraiso,"Aceiros, Calagem, Adubação",4
20 - 50 ha,Paraiso,"Rotação de Cultura, Aceiros, Adubação",4
20 - 50 ha,Paraiso,Adubação,4
20 - 50 ha,Miracema,Plantio direto,4
50 - 100 ha,Miracema,Aceiros,4
20 - 50 ha,Araguaina,"Rotação de Cultura, Aceiros, Adubação",3
100 - 200 ha,Taguatinga,Rotação de Cultura,3
20 - 50 ha,Colinas,"Aceiros, Calagem, Adubação",3
20 - 50 ha,Paraiso,"Rotação de Cultura, Adubação",3
10 - 20 ha,Porto,Aceiros,3
10 - 20 ha,Taguatinga,"Aceiros, Adubação",3
10 - 20 ha,Araguatins,"Aceiros, Adubação",3
10 - 20 ha,Gurupi,Não Usa,3
20 - 50 ha,Araguatins,"Rotação de Cultura, Descarte correto de embalagens, Adubação",3
10 - 20 ha,Miracema,"Aceiros, Adubação",3
20 - 50 ha,Araguatins,"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Adubação",3
100 - 200 ha,Paraiso,"Adubação verde, Plantio direto",3
20 - 50 ha,Gurupi,"Rotação de Cultura, Aceiros, Calagem, Adubação",3
5 - 10 ha,Araguaina,"Rotação de Cultura, Aceiros",3
20 - 50 ha,Araguaina,"Rotação de Cultura, Aceiros, Recuperação de pastagens",3
Até 1 ha,Paraiso,Não Usa,3
10 - 20 ha,Gurupi,Aceiros,3
10 - 20 ha,Miracema,Consórcio,3
10 - 20 ha,Araguaina,"Aceiros, Plantio direto, Adubação",3
10 - 20 ha,Araguatins,"Aceiros, Recuperação de pastagens",3
Até 1 ha,Paraiso,"Adubação verde, Plantio direto",3
5 - 10 ha,Araguaina,"Aceiros, Calagem, Adubação",3
50 - 100 ha,Araguaina,"Rotação de Cultura, Aceiros",3
10 - 20 ha,Gurupi,"Aceiros, Calagem",3
20 - 50 ha,Taguatinga,Adubação,3
20 - 50 ha,Araguaina,"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",3
10 - 20 ha,Paraiso,"Aceiros, Adubação",3
100 - 200 ha,Taguatinga,"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",3
20 - 50 ha,Gurupi,Adubação,3
20 - 50 ha,Araguaina,"Aceiros, Adubação",3
50 - 100 ha,Taguatinga,"Aceiros, Calagem",3
1 - 5 ha,Araguaina,"Rotação de Cultura, Aceiros, Calagem, Adubação",3
1 - 5 ha,Taguatinga,Aceiros,3
1 - 5 ha,Paraiso,Não Usa,3
Até 1 ha,Araguatins,"Rotação de Cultura, Adubação",3
20 - 50 ha,Taguatinga,Calagem,3
1 - 5 ha,Miracema,"Adubação verde, Aceiros",3
20 - 50 ha,Miracema,"Aceiros, Calagem",3
50 - 100 ha,Taguatinga,"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",2
10 - 20 ha,Miracema,"Rotação de Cultura, Aceiros",2
50 - 100 ha,Gurupi,"Curva de nível, Aceiros, Calagem, Adubação",2
200 - 320 ha,Paraiso,Adubação,2
50 - 100 ha,Colinas,"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto, Adubação",2
5 - 10 ha,Taguatinga,"Adubação verde, Rotação de Cultura, Calagem, Adubação",2
10 - 20 ha,Taguatinga,"Adubação verde, Aceiros",2
50 - 100 ha,Taguatinga,Calagem,2
20 - 50 ha,Porto,"Aceiros, Calagem, Recuperação de pastagens, Adubação",2
1 - 5 ha,Gurupi,Adubação,2
10 - 20 ha,Colinas,"Adubação verde, Aceiros, Calagem, Consórcio, Adubação",2
10 - 20 ha,Colinas,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",2
20 - 50 ha,Miracema,"Rotação de Cultura, Adubação",2
20 - 50 ha,Araguaina,"Aceiros, Calagem, Recuperação de pastagens",2
20 - 50 ha,Araguaina,"Adubação verde, Rotação de Cultura, Plantio direto, Adubação",2
20 - 50 ha,Gurupi,"Curva de nível, Aceiros",2
20 - 50 ha,Araguatins,"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",2
1 - 5 ha,Araguatins,"Aceiros, Adubação",2
50 - 100 ha,Gurupi,Aceiros,2
10 - 20 ha,Araguatins,"Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",2
5 - 10 ha,Araguatins,"Aceiros, Consórcio",2
50 - 100 ha,Miracema,"Aceiros, Plantio direto, Adubação",2
50 - 100 ha,Paraiso,"Adubação verde, Plantio direto",2
20 - 50 ha,Araguaina,"Adubação verde, Rotação de Cultura, Aceiros",2
10 - 20 ha,Paraiso,Não Usa,2
10 - 20 ha,Araguatins,"Rotação de Cultura, Aceiros, Descarte correto de embalagens",2
10 - 20 ha,Araguaina,"Aceiros, Adubação",2
1 - 5 ha,Miracema,"Aceiros, Calagem, Adubação",2
50 - 100 ha,Porto,"Aceiros, Calagem, Recuperação de pastagens",2
20 - 50 ha,Taguatinga,"Aceiros, Calagem, Adubação",2
1 - 5 ha,Araguaina,"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto",2
5 - 10 ha,Gurupi,Não Usa,2
20 - 50 ha,Paraiso,"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",2
20 - 50 ha,Paraiso,Recuperação de pastagens,2
20 - 50 ha,Colinas,Não Usa,2
1 - 5 ha,Colinas,"Adubação verde, Adubação",2
20 - 50 ha,Porto,"Calagem, Adubação",2
10 - 20 ha,Paraiso,"Reaproveitamento de residuos, Plantio direto, Adubação",2
20 - 50 ha,Araguatins,"Rotação de Cultura, Aceiros",2
100 - 200 ha,Colinas,"Aceiros, Calagem, Adubação",2
5 - 10 ha,Araguaina,"Aceiros, Consórcio",2
20 - 50 ha,Miracema,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",2
5 - 10 ha,Paraiso,"Adubação verde, Plantio direto",2
10 - 20 ha,Araguaina,"Plantio direto, Adubação",2
1 - 5 ha,Araguaina,"Calagem, Consórcio, Adubação",2
10 - 20 ha,Colinas,"Aceiros, Calagem, Adubação",2
Até 1 ha,Araguaina,Aceiros,2
1 - 5 ha,Araguaina,Aceiros,2
100 - 200 ha,Miracema,"Aceiros, Calagem, Adubação",2
50 - 100 ha,Paraiso,Adubação,2
50 - 100 ha,Porto,Aceiros,2
20 - 50 ha,Araguatins,"Rotação de Cultura, Aceiros, Consórcio",2
1 - 5 ha,Taguatinga,Adubação,2
20 - 50 ha,Araguaina,"Aceiros, Recuperação de pastagens, Adubação",2
1 - 5 ha,Araguaina,"Aceiros, Consórcio, Adubação",2
5 - 10 ha,Miracema,"Aceiros, Adubação",2
20 - 50 ha,Araguaina,"Aceiros, Não Usa",2
20 - 50 ha,Araguatins,"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",2
20 - 50 ha,Taguatinga,"Plantio direto, Adubação",2
50 - 100 ha,Miracema,"Aceiros, Adubação",2
20 - 50 ha,Paraiso,"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",2
200 - 320 ha,Paraiso,"Aceiros, Adubação",2
20 - 50 ha,Paraiso,"Adubação verde, Plantio direto",2
50 - 100 ha,Paraiso,"Aceiros, Calagem",2
10 - 20 ha,Paraiso,Adubação,2
50 - 100 ha,Paraiso,"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",2
20 - 50 ha,Taguatinga,Não Usa,2
20 - 50 ha,Gurupi,"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",2
10 - 20 ha,Araguaina,"Aceiros, Plantio direto",2
20 - 50 ha,Paraiso,Calagem,2
20 - 50 ha,Paraiso,"Aceiros, Plantio direto",2
20 - 50 ha,Paraiso,Rotação de Cultura,2
10 - 20 ha,Araguatins,Calagem,2
Até 1 ha,Taguatinga,Aceiros,2
50 - 100 ha,Paraiso,"Aceiros, Calagem, Adubação",2
20 - 50 ha,Araguaina,"Rotação de Cultura, Plantio direto, Adubação",2
50 - 100 ha,Miracema,"Aceiros, Calagem",2
20 - 50 ha,Paraiso,"Reaproveitamento de residuos, Aceiros",2
20 - 50 ha,Gurupi,"Rotação de Cultura, Adubação",2
100 - 200 ha,Miracema,Aceiros,2
10 - 20 ha,Taguatinga,Aceiros,2
10 - 20 ha,Colinas,"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",2
10 - 20 ha,Paraiso,"Aceiros, Calagem, Adubação",2
20 - 50 ha,Araguatins,"Aceiros, Consórcio, Adubação",2
100 - 200 ha,Gurupi,"Calagem, Recuperação de pastagens, Adubação",2
20 - 50 ha,Colinas,Aceiros,2
50 - 100 ha,Araguaina,"Aceiros, Adubação",2
1 - 5 ha,Araguatins,Consórcio,2
10 - 20 ha,Araguatins,"Rotação de Cultura, Calagem, Adubação",2
10 - 20 ha,Porto,"Aceiros, Calagem, Adubação",2
20 - 50 ha,Araguatins,"Reaproveitamento de residuos, Consórcio",2
10 - 20 ha,Araguaina,Adubação,2
20 - 50 ha,Miracema,"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",2
20 - 50 ha,Paraiso,"Reaproveitamento de residuos, Aceiros, Adubação",2
20 - 50 ha,Gurupi,Recuperação de pastagens,2
10 - 20 ha,Araguatins,"Aceiros, Consórcio",2
1 - 5 ha,Paraiso,Reaproveitamento de residuos,2
50 - 100 ha,Gurupi,"Aceiros, Calagem, Adubação",2
100 - 200 ha,Paraiso,"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",2
50 - 100 ha,Miracema,"Rotação de Cultura, Aceiros, Adubação",2
5 - 10 ha,Colinas,"Calagem, Adubação",2
50 - 100 ha,Taguatinga,"Adubação verde, Rotação de Cultura",2
50 - 100 ha,Paraiso,"Aceiros, Recuperação de pastagens",2
20 - 50 ha,Araguatins,"Curva de nível, Aceiros, Calagem, Consórcio, ILP - Integração Lavoura Pecuária, Descarte correto de embalagens, Recuperação de pastagens, Adubação",2
10 - 20 ha,Taguatinga,"Rotação de Cultura, Aceiros, Consórcio, Plantio direto",2
20 - 50 ha,Porto,"Aceiros, Calagem, Recuperação de pastagens",2
5 - 10 ha,Araguatins,"Aceiros, Adubação",2
20 - 50 ha,Araguaina,"Plantio direto, Adubação",2
20 - 50 ha,Paraiso,"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",2
20 - 50 ha,Paraiso,"Adubação verde, Reaproveitamento de residuos",2
20 - 50 ha,Colinas,"Curva de nível, Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",2
1 - 5 ha,Araguatins,Aceiros,2
100 - 200 ha,Gurupi,"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio",1
10 - 20 ha,Paraiso,Plantio direto,1
200 - 320 ha,Taguatinga,"Reaproveitamento de residuos, Aceiros",1
10 - 20 ha,Araguaina,"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",1
20 - 50 ha,Araguatins,"Rotação de Cultura, Plantio direto",1
10 - 20 ha,Paraiso,"Reaproveitamento de residuos, Adubação",1
20 - 50 ha,Taguatinga,"Rotação de Cultura, Aceiros, Consórcio, Plantio direto",1
20 - 50 ha,Araguatins,"Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",1
20 - 50 ha,Paraiso,"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",1
20 - 50 ha,Miracema,"Rotação de Cultura, Consórcio",1
5 - 10 ha,Paraiso,Adubação verde,1
5 - 10 ha,Taguatinga,"Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",1
10 - 20 ha,Porto,"Adubação verde, Aceiros",1
20 - 50 ha,Paraiso,"Adubação verde, Adubação",1
1 - 5 ha,Miracema,"Calagem, Adubação",1
20 - 50 ha,Araguaina,"Adubação verde, Plantio direto, Adubação",1
50 - 100 ha,Gurupi,"Aceiros, Adubação",1
20 - 50 ha,Araguaina,"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens",1
50 - 100 ha,Taguatinga,ILP - Integração Lavoura Pecuária,1
100 - 200 ha,Gurupi,"Aceiros, Calagem, Adubação",1
5 - 10 ha,Taguatinga,"Adubação verde, Plantio direto",1
100 - 200 ha,Araguatins,"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",1
20 - 50 ha,Porto,"Calagem, Recuperação de pastagens, Adubação",1
200 - 320 ha,Araguaina,"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",1
50 - 100 ha,Araguaina,"Aceiros, Recuperação de pastagens, Adubação",1
20 - 50 ha,Araguaina,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",1
20 - 50 ha,Araguatins,"Aceiros, Aproveitamento da floresta",1
20 - 50 ha,Araguatins,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",1
50 - 100 ha,Araguaina,"Calagem, Adubação",1
100 - 200 ha,Araguaina,"Aceiros, Calagem, Adubação",1
20 - 50 ha,Araguatins,"Reaproveitamento de residuos, Aceiros, Adubação",1
20 - 50 ha,Taguatinga,"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens",1
50 - 100 ha,Taguatinga,Rotação de Cultura,1
5 - 10 ha,Araguatins,"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",1
5 - 10 ha,Taguatinga,"Aceiros, Calagem, Adubação",1
20 - 50 ha,Araguatins,"Rotação de Cultura, Aceiros, Descarte correto de embalagens",1
10 - 20 ha,Porto,"Adubação verde, Plantio direto",1
10 - 20 ha,Paraiso,"Calagem, Plantio direto, Adubação",1
1 - 5 ha,Taguatinga,"Consórcio, Plantio direto, Adubação",1
50 - 100 ha,Taguatinga,"Adubação verde, Reaproveitamento de residuos, Aceiros, Consórcio, Descarte correto de embalagens",1
50 - 100 ha,Paraiso,"Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",1
20 - 50 ha,Miracema,Calagem,1
20 - 50 ha,Araguaina,"Reaproveitamento de residuos, Calagem, Adubação",1
1 - 5 ha,Porto,Não Usa,1
1 - 5 ha,Araguatins,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Plantio direto, Adubação",1
5 - 10 ha,Araguatins,"Rotação de Cultura, Calagem, Adubação",1
20 - 50 ha,Araguaina,"Rotação de Cultura, Aceiros, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto",1
Até 1 ha,Araguatins,"Rotação de Cultura, Aceiros",1
5 - 10 ha,Porto,Adubação verde,1
10 - 20 ha,Paraiso,"Adubação verde, Aceiros, Adubação",1
20 - 50 ha,Taguatinga,Adubação verde,1
20 - 50 ha,Araguatins,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",1
20 - 50 ha,Araguatins,"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",1
20 - 50 ha,Gurupi,Rotação de Cultura,1
20 - 50 ha,Paraiso,"Adubação verde, Reaproveitamento de residuos, Calagem, Plantio direto, Adubação",1
20 - 50 ha,Miracema,"Reaproveitamento de residuos, Aceiros, Calagem",1
20 - 50 ha,Araguatins,Não Usa,1
1 - 5 ha,Araguaina,Não Usa,1
20 - 50 ha,Paraiso,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",1
20 - 50 ha,Araguaina,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio",1
50 - 100 ha,Gurupi,"Curva de nível, Reaproveitamento de residuos, Recuperação de pastagens, Plantio direto",1
1 - 5 ha,Araguatins,"Adubação verde, Rotação de Cultura, Calagem, Adubação",1
5 - 10 ha,Araguaina,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",1
1 - 5 ha,Paraiso,"Reaproveitamento de residuos, Rotação de Cultura, Calagem",1
10 - 20 ha,Araguaina,"Rotação de Cultura, Aceiros, Plantio direto",1
Acima de 320 ha,Paraiso,Aceiros,1
Até 1 ha,Araguatins,"Rotação de Cultura, Calagem, Adubação",1
1 - 5 ha,Araguatins,"Rotação de Cultura, Aceiros, Consórcio, Adubação",1
1 - 5 ha,Gurupi,"Aceiros, Calagem, Adubação",1
200 - 320 ha,Taguatinga,"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",1
5 - 10 ha,Colinas,"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura",1
100 - 200 ha,Araguatins,"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto",1
10 - 20 ha,Porto,"Consórcio, Adubação",1
1 - 5 ha,Porto,Reaproveitamento de residuos,1
10 - 20 ha,Porto,"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio, Adubação",1
Até 1 ha,Taguatinga,"Reaproveitamento de residuos, Aceiros, Consórcio",1
5 - 10 ha,Paraiso,"Rotação de Cultura, Calagem",1
1 - 5 ha,Miracema,"Rotação de Cultura, Adubação",1
10 - 20 ha,Gurupi,"Aceiros, Calagem, Recuperação de pastagens, Adubação",1
1 - 5 ha,Araguatins,"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Adubação",1
10 - 20 ha,Araguaina,"Rotação de Cultura, Aceiros",1
Até 1 ha,Araguaina,"Aceiros, Consórcio",1
100 - 200 ha,Paraiso,"Aceiros, Consórcio, Recuperação de pastagens, Adubação",1
50 - 100 ha,Miracema,"Rotação de Cultura, Calagem, Adubação",1
1 - 5 ha,Taguatinga,Rotação de Cultura,1
5 - 10 ha,Paraiso,Não Usa,1
20 - 50 ha,Araguaina,"Aceiros, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto",1
5 - 10 ha,Gurupi,Aceiros,1
5 - 10 ha,Araguatins,"Aceiros, Descarte correto de embalagens",1
10 - 20 ha,Taguatinga,"Rotação de Cultura, Consórcio",1
200 - 320 ha,Gurupi,"Aceiros, Calagem, Recuperação de pastagens, Adubação",1
5 - 10 ha,Miracema,Rotação de Cultura,1
100 - 200 ha,Paraiso,"Reaproveitamento de residuos, Plantio direto, Adubação",1
1 - 5 ha,Paraiso,"Adubação verde, Reaproveitamento de residuos",1
10 - 20 ha,Taguatinga,Adubação,1
