uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
Não Usa,Degradação Média,Marianópolis do Tocantins,10
"Aceiros, Adubação",,Palmeiras do Tocantins,8
"Aceiros, Calagem, Adubação",Não possui degradação,Miranorte,8
"Aceiros, Adubação",Não possui degradação,Miranorte,7
"Aceiros, Adubação",Não possui degradação,Miranorte,6
"Aceiros, Calagem, Adubação",Não possui degradação,Guaraí,6
"Aceiros, Consórcio",Pouco degradado,Ananás,6
Aceiros,,Xambioá,5
Não Usa,,Lajeado,5
"Aceiros, Recuperação de pastagens",Pouco degradado,Araguaína,5
Rotação de Cultura,Não possui degradação,Paranã,5
Aceiros,Não possui degradação,Talismã,5
"Aceiros, Descarte correto de embalagens",Degradação Média,Sítio Novo do Tocantins,4
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",Pouco degradado,Paranã,4
"Aceiros, Recuperação de pastagens",Pouco degradado,Piraquê,4
Aceiros,Não possui degradação,Alvorada,4
Aceiros,Degradação Média,Chapada de Areia,4
Consórcio,,Tocantínia,4
Adubação,Degradação Média,Marianópolis do Tocantins,4
Aceiros,Não possui degradação,Talismã,4
"Aceiros, Descarte correto de embalagens, Adubação",Pouco degradado,Palmeiras do Tocantins,4
Aceiros,,Tupirama,4
Aceiros,Pouco degradado,Axixá do Tocantins,4
"Aceiros, Calagem",Pouco degradado,Gurupi,4
Aceiros,Pouco degradado,Ponte Alta do Bom Jesus,4
Aceiros,Pouco degradado,Araguanã,4
"Aceiros, Adubação",Pouco degradado,Pium,3
"Adubação verde, Plantio direto",Não possui degradação,Chapada de Areia,3
"Aceiros, Calagem, Adubação",Pouco degradado,Araguaína,3
Aceiros,Pouco degradado,Monte do Carmo,3
Adubação verde,,Paraíso do Tocantins,3
"Aceiros, Calagem",Degradação Média,Porto Alegre do Tocantins,3
"Aceiros, Plantio direto, Adubação",,Carmolândia,3
"Rotação de Cultura, Aceiros, Adubação",Não possui degradação,Miranorte,3
"Plantio direto, Adubação",Degradação Média,Xambioá,3
Não Usa,,Caseara,3
"Adubação verde, Plantio direto",Não possui degradação,Monte Santo do Tocantins,3
Não Usa,Não possui degradação,Talismã,3
Aceiros,Pouco degradado,Pedro Afonso,3
"Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Figueirópolis,3
Aceiros,Pouco degradado,Paraíso do Tocantins,3
"Aceiros, Adubação",,Palmeiras do Tocantins,3
Aceiros,,Carmolândia,3
Aceiros,,São Bento do Tocantins,3
"Aceiros, Calagem, Adubação",Não possui degradação,Marianópolis do Tocantins,3
"Aceiros, Calagem, Adubação",Pouco degradado,Guaraí,3
Aceiros,Pouco degradado,Chapada de Areia,3
Aceiros,Pouco degradado,Filadélfia,3
"Aceiros, Calagem, Adubação",Pouco degradado,dois Irmãos do Tocantins,3
Não Usa,Não possui degradação,Caseara,3
"Aceiros, Adubação",Não possui degradação,Pium,3
"Rotação de Cultura, Aceiros",Não possui degradação,Ananás,3
Aceiros,Pouco degradado,Xambioá,3
"Aceiros, Calagem, Adubação",Pouco degradado,Araguaína,3
Aceiros,Não possui degradação,Pedro Afonso,3
"Rotação de Cultura, Descarte correto de embalagens, Adubação",,Palmeiras do Tocantins,2
Aceiros,,Pedro Afonso,2
"Rotação de Cultura, Aceiros",,Xambioá,2
"Aceiros, Calagem, Adubação",Não possui degradação,Miranorte,2
"Adubação verde, Plantio direto",,Chapada de Areia,2
"Reaproveitamento de residuos, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,2
"Rotação de Cultura, Aceiros, Recuperação de pastagens",Pouco degradado,Araguaína,2
"Adubação verde, Plantio direto",,Palmas,2
"Adubação verde, Rotação de Cultura, Aceiros",Pouco degradado,Araguanã,2
"Curva de nível, Aceiros, Calagem, Consórcio, ILP - Integração Lavoura Pecuária, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Palmeiras do Tocantins,2
Aceiros,Degradação Média,Pedro Afonso,2
"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Adubação",,Palmeiras do Tocantins,2
Aceiros,Não possui degradação,Araguanã,2
Adubação verde,Pouco degradado,Chapada de Areia,2
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",,darcinópolis,2
Aceiros,Pouco degradado,Muricilândia,2
"Aceiros, Calagem, Adubação",Pouco degradado,Guaraí,2
Plantio direto,Não possui degradação,Rio Sono,2
"Aceiros, Recuperação de pastagens, Adubação",Pouco degradado,Piraquê,2
Consórcio,,Ananás,2
"Aceiros, Calagem",Não possui degradação,Gurupi,2
"Aceiros, Calagem, Adubação",,Rio dos Bois,2
Aceiros,Pouco degradado,Miranorte,2
"Aceiros, Calagem, Adubação",Pouco degradado,Ipueiras,2
Aceiros,Degradação Média,Santa Fé do Araguaia,2
"Aceiros, Calagem",Pouco degradado,Gurupi,2
"Aceiros, Adubação",,dois Irmãos do Tocantins,2
Aceiros,Pouco degradado,Filadélfia,2
"Aceiros, Calagem, Adubação",Não possui degradação,Miranorte,2
Não Usa,Pouco degradado,Paraíso do Tocantins,2
"Aceiros, Calagem, Adubação",Pouco degradado,Rio dos Bois,2
"Aceiros, Calagem, Adubação",Não possui degradação,Dianópolis,2
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,Couto Magalhães,2
Reaproveitamento de residuos,,Paraíso do Tocantins,2
Plantio direto,,Rio Sono,2
"Aceiros, Adubação",Pouco degradado,dois Irmãos do Tocantins,2
"Aceiros, Calagem, Adubação",Pouco degradado,Muricilândia,2
"Aceiros, Calagem, Adubação",Pouco degradado,Santa Fé do Araguaia,2
Recuperação de pastagens,Pouco degradado,Divinópolis do Tocantins,2
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",Degradação Média,Chapada da Natividade,2
"Aceiros, Calagem",,Rio dos Bois,2
Adubação verde,,Chapada de Areia,2
"Aceiros, Calagem, Adubação",Não possui degradação,Guaraí,2
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",Degradação Média,Paranã,2
Aceiros,Pouco degradado,Monte do Carmo,2
Não Usa,,Divinópolis do Tocantins,2
"Aceiros, Calagem",Degradação Média,Aliança do Tocantins,2
"Rotação de Cultura, Adubação",,São Miguel do Tocantins,2
"Aceiros, Calagem, Descarte correto de embalagens",Pouco degradado,Goiatins,2
"Rotação de Cultura, Aceiros",,Araguaína,2
"Adubação verde, Aceiros",,Bom Jesus do Tocantins,2
Aceiros,,Pium,2
"Reaproveitamento de residuos, Consórcio",,Ananás,2
"Calagem, Adubação",Não possui degradação,Guaraí,2
"Aceiros, Adubação",Pouco degradado,Araguaína,2
Adubação,Não possui degradação,Novo Jardim,2
Aceiros,Não possui degradação,Marianópolis do Tocantins,2
"Aceiros, Calagem",,Gurupi,2
Aceiros,Não possui degradação,Monte Santo do Tocantins,2
"Aceiros, Calagem, Adubação",Pouco degradado,Miranorte,2
"Calagem, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,2
"Aceiros, Calagem, Adubação",,Nova Olinda,2
"Calagem, Consórcio, Adubação",,Araguaína,2
Não Usa,Não possui degradação,Talismã,2
Aceiros,Não possui degradação,Dianópolis,2
Aceiros,Pouco degradado,Filadélfia,2
"Aceiros, Calagem, Adubação",Não possui degradação,Pium,2
Aceiros,Não possui degradação,Miranorte,2
"Aceiros, Recuperação de pastagens",Não possui degradação,Piraquê,2
"Rotação de Cultura, Aceiros",Não possui degradação,Araguanã,2
Aceiros,Pouco degradado,Divinópolis do Tocantins,2
Não Usa,Pouco degradado,Abreulândia,2
"Aceiros, Descarte correto de embalagens, Adubação",,darcinópolis,2
"Reaproveitamento de residuos, Calagem, Plantio direto, Adubação",,Nova Rosalândia,2
Adubação,,Dianópolis,2
"Adubação verde, Plantio direto",,Paraíso do Tocantins,2
"Aceiros, Consórcio",,Araguaína,2
Aceiros,Pouco degradado,Talismã,2
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Pouco degradado,Barrolândia,2
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Não possui degradação,Filadélfia,2
Aceiros,,Filadélfia,2
"Adubação verde, Calagem, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,2
Não Usa,Degradação Média,Gurupi,2
Aceiros,Pouco degradado,Filadélfia,2
"Curva de nível, Reaproveitamento de residuos",,Couto Magalhães,2
"Aceiros, Calagem, Adubação",Pouco degradado,Pium,2
Aceiros,Não possui degradação,Pium,2
Adubação,,Lagoa da Confusão,2
"Aceiros, Adubação",Degradação Média,Peixe,2
Aceiros,Pouco degradado,Cristalândia,2
"Rotação de Cultura, Aceiros, Calagem, Adubação",,Nova Olinda,2
"Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,Goiatins,2
"Aceiros, Adubação",Pouco degradado,Sucupira,2
"Adubação verde, Plantio direto",Pouco degradado,Chapada de Areia,2
Aceiros,,Ponte Alta do Bom Jesus,2
"Aceiros, Descarte correto de embalagens",,Sítio Novo do Tocantins,2
"Aceiros, Adubação",Degradação Média,Pium,2
Aceiros,Pouco degradado,Aurora do Tocantins,2
Calagem,Não possui degradação,Almas,2
"Aceiros, Recuperação de pastagens",Degradação Média,Luzinópolis,2
"Aceiros, Plantio direto, Adubação",,Santa Maria do Tocantins,2
"Aceiros, Adubação",,Pium,2
Não Usa,,Caseara,2
Aceiros,,Gurupi,2
"Rotação de Cultura, Aceiros",Pouco degradado,Araguanã,2
Aceiros,,Tupirama,2
"Aceiros, Consórcio, Adubação",Não possui degradação,Araguaína,2
Não Usa,,Esperantina,1
"Aceiros, Calagem",,Marianópolis do Tocantins,1
"Aceiros, Aproveitamento da floresta",,São Bento do Tocantins,1
Aceiros,Degradação Média,Jaú do Tocantins,1
"Aceiros, Plantio direto",Não possui degradação,Rio Sono,1
Aceiros,,Divinópolis do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto",,Babaçulândia,1
"Curva de nível, Adubação verde, Aceiros, Calagem",,Almas,1
"Rotação de Cultura, Aceiros, Consórcio",,Luzinópolis,1
"Aceiros, Calagem, Adubação",,Cristalândia,1
"Aceiros, Descarte correto de embalagens",,Filadélfia,1
"Aceiros, Calagem, Adubação",Pouco degradado,Palmeirópolis,1
"Aceiros, Não Usa",,Filadélfia,1
Reaproveitamento de residuos,,Ananás,1
"Adubação verde, Calagem, Plantio direto, Adubação",Pouco degradado,Rio da Conceição,1
"Rotação de Cultura, Aceiros",,Dianópolis,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Degradação Média,Xambioá,1
"Adubação verde, Aceiros",Não possui degradação,Almas,1
"Rotação de Cultura, Aceiros, Adubação",,São Miguel do Tocantins,1
Aceiros,Degradação Média,Gurupi,1
"Consórcio, Adubação",,Tocantínia,1
"Aceiros, Recuperação de pastagens",,Filadélfia,1
"Curva de nível, Adubação verde, Aceiros, Calagem, Adubação",Pouco degradado,,1
"Aceiros, Calagem, Adubação",,Araguaína,1
"Aceiros, Adubação",,Araguaína,1
Rotação de Cultura,Não possui degradação,Novo Jardim,1
"Aceiros, Adubação",Não possui degradação,Gurupi,1
"Aceiros, Calagem",Degradação Média,Cristalândia,1
"Aceiros, Não Usa",Não possui degradação,Cristalândia,1
Recuperação de pastagens,Pouco degradado,Araguaçu,1
Aceiros,Pouco degradado,Alvorada,1
"Aceiros, Calagem, Adubação",,Aragominas,1
"Curva de nível, Adubação verde, Rotação de Cultura, Calagem, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Couto Magalhães,1
"Curva de nível, Adubação verde, Calagem, Adubação",Não possui degradação,Guaraí,1
Aceiros,Não possui degradação,Gurupi,1
"Rotação de Cultura, Calagem, Recuperação de pastagens, Não Usa",Muito degradado,Araguatins,1
"Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,Ponte Alta do Bom Jesus,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Degradação Média,Silvanópolis,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",Pouco degradado,Peixe,1
"Aceiros, Plantio direto",Não possui degradação,Divinópolis do Tocantins,1
"Aceiros, Adubação",Pouco degradado,Santa Fé do Araguaia,1
"Aceiros, Calagem, Adubação",,Araguaína,1
"Aceiros, Consórcio",,Nova Olinda,1
Aceiros,,Gurupi,1
Plantio direto,,Chapada de Areia,1
Não Usa,Degradação Média,Dueré,1
"Curva de nível, Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Guaraí,1
"Aceiros, Recuperação de pastagens",,Araguaçu,1
Aceiros,Não possui degradação,Guaraí,1
Aceiros,Pouco degradado,Monte Santo do Tocantins,1
"Aceiros, Calagem, Adubação",Não possui degradação,Sucupira,1
"Aceiros, Adubação",Degradação Média,Filadélfia,1
"Adubação verde, Aceiros, Calagem, Adubação",,dois Irmãos do Tocantins,1
"Aceiros, Descarte correto de embalagens",Pouco degradado,Alvorada,1
Aceiros,Muito degradado,Sucupira,1
"Calagem, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,1
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Pugmil,1
"Rotação de Cultura, Aceiros, Adubação",Pouco degradado,Pium,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Adubação",Pouco degradado,Almas,1
"Aceiros, Calagem, Recuperação de pastagens",Degradação Média,Silvanópolis,1
Não Usa,Pouco degradado,Paraíso do Tocantins,1
"Aceiros, Calagem, Adubação",Pouco degradado,Dueré,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Descarte correto de embalagens",Não possui degradação,Almas,1
"Aceiros, Descarte correto de embalagens, Plantio direto",Não possui degradação,Araguaína,1
Aceiros,Degradação Média,Colméia,1
"Adubação verde, Rotação de Cultura",Não possui degradação,Paranã,1
Plantio direto,Degradação Média,Chapada de Areia,1
Aceiros,Degradação Média,Peixe,1
"Adubação verde, Plantio direto, Adubação",,Rio da Conceição,1
Calagem,Não possui degradação,Dianópolis,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",Degradação Média,Silvanópolis,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Não possui degradação,Barrolândia,1
"Rotação de Cultura, Calagem, Consórcio, Adubação",Não possui degradação,Nova Olinda,1
"Adubação verde, Rotação de Cultura, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,1
"Aceiros, Calagem, Adubação",Degradação Média,dois Irmãos do Tocantins,1
"Reaproveitamento de residuos, Aceiros",Não possui degradação,Cristalândia,1
Plantio direto,,Esperantina,1
Aceiros,Pouco degradado,Ipueiras,1
"Adubação verde, Aceiros, Recuperação de pastagens, Adubação",Pouco degradado,Chapada da Natividade,1
"Aceiros, Recuperação de pastagens, Plantio direto",Não possui degradação,Rio Sono,1
Aceiros,Não possui degradação,Divinópolis do Tocantins,1
ILP - Integração Lavoura Pecuária,Não possui degradação,Dianópolis,1
"Reaproveitamento de residuos, Aceiros, Calagem, Descarte correto de embalagens, Adubação",Não possui degradação,Palmeiras do Tocantins,1
Aceiros,,Abreulândia,1
"Aceiros, Recuperação de pastagens",,Palmeiras do Tocantins,1
Não Usa,Não possui degradação,Caseara,1
Reaproveitamento de residuos,,Novo Acordo,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Barrolândia,1
"Curva de nível, Adubação verde, Rotação de Cultura, Aceiros",,Almas,1
Aceiros,Não possui degradação,Ponte Alta do Bom Jesus,1
"Adubação verde, Aceiros, Calagem, Consórcio, Adubação",Pouco degradado,Guaraí,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Degradação Média,Araguaçu,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",Pouco degradado,Barrolândia,1
"Rotação de Cultura, Calagem, Adubação",,Crixás do Tocantins,1
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,Paranã,1
Rotação de Cultura,,Figueirópolis,1
"Adubação verde, Rotação de Cultura, Aceiros",Não possui degradação,Paranã,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Descarte correto de embalagens, Adubação",,Fortaleza do Tabocão,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Plantio direto, Adubação",,Araguatins,1
"Rotação de Cultura, Aceiros, Consórcio, Adubação",,Angico,1
"Rotação de Cultura, Aceiros, Plantio direto",,Babaçulândia,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Adubação",,Porto Nacional,1
"Reaproveitamento de residuos, Aceiros, Adubação",,darcinópolis,1
"Rotação de Cultura, Consórcio",Não possui degradação,Paranã,1
"Rotação de Cultura, Calagem, ILP - Integração Lavoura Pecuária, Plantio direto, Adubação",Não possui degradação,Lagoa da Confusão,1
Aceiros,Pouco degradado,Axixá do Tocantins,1
"Adubação verde, Aceiros",,Almas,1
Adubação,Degradação Média,Xambioá,1
"Aceiros, Adubação",Não possui degradação,Miranorte,1
Calagem,,Porto Alegre do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Consórcio, Descarte correto de embalagens",,Almas,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",Pouco degradado,Paranã,1
Aceiros,,Palmas,1
Calagem,,Rio dos Bois,1
"Reaproveitamento de residuos, Aceiros, Consórcio",Não possui degradação,Paranã,1
"Aceiros, Não Usa",Degradação Média,Filadélfia,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Plantio direto, Adubação",,Araguatins,1
"Calagem, Adubação",,Filadélfia,1
"Adubação verde, Rotação de Cultura, Aceiros, Consórcio",,Pedro Afonso,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",Pouco degradado,Peixe,1
Adubação,,Rio Sono,1
"Adubação verde, Aceiros, Plantio direto, Adubação",,Bom Jesus do Tocantins,1
"Aceiros, Adubação",Não possui degradação,Figueirópolis,1
"Rotação de Cultura, Aceiros",Pouco degradado,Divinópolis do Tocantins,1
Aceiros,Pouco degradado,Palmas,1
"Aceiros, Calagem, Plantio direto, Adubação",,dois Irmãos do Tocantins,1
"Rotação de Cultura, Aceiros",,Rio Sono,1
Curva de nível,,Novo Jardim,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Chapada da Natividade,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Plantio direto, Adubação",,Palmas,1
Aceiros,Pouco degradado,Chapada da Natividade,1
Aceiros,Pouco degradado,Rio Sono,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Tocantínia,1
"Adubação verde, Adubação",Pouco degradado,Colméia,1
Adubação,,Barrolândia,1
"Calagem, Recuperação de pastagens",Pouco degradado,Cariri do Tocantins,1
Aceiros,Não possui degradação,Caseara,1
"Aceiros, Calagem, Adubação",Muito degradado,Silvanópolis,1
"Rotação de Cultura, Calagem",Pouco degradado,Paraíso do Tocantins,1
"Não Usa,",,Divinópolis do Tocantins,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Axixá do Tocantins,1
Aceiros,Não possui degradação,Barrolândia,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Itaguatins,1
"Rotação de Cultura, Aceiros",Pouco degradado,Xambioá,1
"Descarte correto de embalagens, Recuperação de pastagens, Adubação",,Dianópolis,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Silvanópolis,1
"Recuperação de pastagens, Plantio direto",Pouco degradado,Xambioá,1
"Aceiros, Não Usa",Pouco degradado,Aliança do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem",,Barrolândia,1
"Rotação de Cultura, Consórcio, Adubação",Degradação Média,Tocantínia,1
"Adubação verde, Adubação",Degradação Média,Xambioá,1
"Aceiros, Recuperação de pastagens",Não possui degradação,Axixá do Tocantins,1
Não Usa,Muito degradado,Marianópolis do Tocantins,1
"Adubação verde, Aceiros",Não possui degradação,Pedro Afonso,1
"Aceiros, Adubação",Degradação Média,dois Irmãos do Tocantins,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Axixá do Tocantins,1
"Aceiros, Consórcio",,Dianópolis,1
"Rotação de Cultura, Adubação",,Miracema do Tocantins,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura",Degradação Média,Couto Magalhães,1
"Rotação de Cultura, Adubação",Degradação Média,Xambioá,1
Aceiros,Degradação Média,Axixá do Tocantins,1
"Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Ananás,1
"Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Peixe,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Axixá do Tocantins,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",,Figueirópolis,1
"Rotação de Cultura, Consórcio, Adubação",,Aguiarnópolis,1
"Aceiros, Plantio direto",Pouco degradado,Aragominas,1
"Rotação de Cultura, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Axixá do Tocantins,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",Pouco degradado,Palmeiras do Tocantins,1
"Aceiros, Adubação",Pouco degradado,Peixe,1
"Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Peixe,1
"Rotação de Cultura, Adubação",Pouco degradado,Monte Santo do Tocantins,1
"Aceiros, Calagem, Adubação",Pouco degradado,Gurupi,1
"Aceiros, Consórcio, Adubação",Não possui degradação,Santa Terezinha do Tocantins,1
Aceiros,Degradação Média,Monte do Carmo,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",Pouco degradado,Babaçulândia,1
"Adubação verde, Plantio direto",Degradação Média,Monte Santo do Tocantins,1
"Plantio direto, Adubação",Pouco degradado,Goiatins,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Não possui degradação,Divinópolis do Tocantins,1
"Plantio direto, Adubação",Pouco degradado,Dianópolis,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",Pouco degradado,Monte Santo do Tocantins,1
"Aceiros, Não Usa",Degradação Média,Barrolândia,1
"Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Adubação",Pouco degradado,Fortaleza do Tabocão,1
Não Usa,Não possui degradação,Guaraí,1
"Aceiros, Adubação",Não possui degradação,Novo Jardim,1
"Rotação de Cultura, Plantio direto, Adubação",Degradação Média,Xambioá,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Não possui degradação,Almas,1
"Adubação verde, Adubação",Pouco degradado,Colméia,1
"Aceiros, Calagem, Adubação",Pouco degradado,Piraquê,1
Aceiros,Não possui degradação,Filadélfia,1
"Adubação verde, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",Pouco degradado,Paranã,1
Aceiros,Pouco degradado,,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Pouco degradado,Fortaleza do Tabocão,1
"Aceiros, Calagem",Não possui degradação,Dianópolis,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens",Não possui degradação,Axixá do Tocantins,1
"Calagem, Consórcio, Recuperação de pastagens, Adubação",Degradação Média,Nova Olinda,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",,Barrolândia,1
"Rotação de Cultura, Adubação",Não possui degradação,Piraquê,1
"Rotação de Cultura, Aceiros, Consórcio",Degradação Média,Praia Norte,1
"Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Paraíso do Tocantins,1
"Rotação de Cultura, Descarte correto de embalagens",Pouco degradado,Bandeirantes do Tocantins,1
"Rotação de Cultura, Aceiros, Adubação",Não possui degradação,Dianópolis,1
"Consórcio, Recuperação de pastagens",Pouco degradado,Cariri do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Araguatins,1
"Aceiros, Calagem, Recuperação de pastagens, Plantio direto",Degradação Média,Piraquê,1
"Aceiros, Recuperação de pastagens",Degradação Média,Chapada da Natividade,1
Não Usa,Não possui degradação,Alvorada,1
"Aceiros, Calagem, Adubação",,Miranorte,1
"Reaproveitamento de residuos, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,1
"Reaproveitamento de residuos, Aceiros, Recuperação de pastagens, Adubação",Pouco degradado,Rio dos Bois,1
"Reaproveitamento de residuos, Aceiros, Calagem, Plantio direto, Adubação",Não possui degradação,Divinópolis do Tocantins,1
"Aceiros, Calagem, Adubação",Não possui degradação,Rio Sono,1
"Aceiros, Adubação",Pouco degradado,Santa Terezinha do Tocantins,1
"Aceiros, Adubação",,Carmolândia,1
"Curva de nível, Reaproveitamento de residuos, Calagem, Consórcio, Adubação",,Dianópolis,1
"Aceiros, Calagem",,Porto Nacional,1
Aceiros,,Aragominas,1
Aceiros,Não possui degradação,Sucupira,1
"Descarte correto de embalagens, Plantio direto",Não possui degradação,Itaporã do Tocantins,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",,Ponte Alta do Bom Jesus,1
Adubação,,Alvorada,1
"Reaproveitamento de residuos, Calagem, Adubação",,Wanderlândia,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Adubação",,Nova Rosalândia,1
"Aceiros, Adubação",Pouco degradado,Paraíso do Tocantins,1
"Rotação de Cultura, Aceiros, Calagem",Degradação Média,Talismã,1
