uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Peixe,1
Plantio direto,Pouco degradado,Rio Sono,1
"Aceiros, Adubação",,Miranorte,1
Plantio direto,Pouco degradado,Cristalândia,1
Adubação,Pouco degradado,Peixe,1
"Calagem, Adubação",Degradação Média,Aliança do Tocantins,1
Rotação de Cultura,Pouco degradado,Paranã,1
"Calagem, Adubação",,Abreulândia,1
"Calagem, Adubação",,Filadélfia,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",,São Miguel do Tocantins,1
"Reaproveitamento de residuos, Aceiros, Adubação",Não possui degradação,Aurora do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura",,Pugmil,1
Aceiros,Degradação Média,Aragominas,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio",,Riachinho,1
Adubação,,Dianópolis,1
Aceiros,Pouco degradado,Aragominas,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Não possui degradação,Colméia,1
Não Usa,,Wanderlândia,1
"Adubação verde, Aceiros, Calagem, Consórcio, Adubação",Pouco degradado,Guaraí,1
Recuperação de pastagens,Não possui degradação,Alvorada,1
Não Usa,,Chapada de Areia,1
"Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens, Plantio direto, Adubação",,Sítio Novo do Tocantins,1
Não Usa,,Marianópolis do Tocantins,1
"Consórcio, Adubação",,Chapada de Areia,1
"Aceiros, Adubação",,Lagoa da Confusão,1
"Curva de nível, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",,Monte do Carmo,1
"Reaproveitamento de residuos, Rotação de Cultura, Adubação",Não possui degradação,Caseara,1
"Rotação de Cultura, Adubação",,Caseara,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",,Wanderlândia,1
"Aceiros, Calagem, Adubação",,darcinópolis,1
"Calagem, Adubação",,darcinópolis,1
"Reaproveitamento de residuos, Aceiros",,Tocantínia,1
"Adubação verde, Plantio direto, Adubação",,Monte Santo do Tocantins,1
Aceiros,Degradação Média,Muricilândia,1
"Consórcio, Plantio direto, Adubação",Pouco degradado,Dianópolis,1
"Aceiros, Descarte correto de embalagens, Adubação",,Angico,1
"Rotação de Cultura, Calagem",Pouco degradado,Divinópolis do Tocantins,1
"Adubação verde, Reaproveitamento de residuos",,Caseara,1
Aceiros,Pouco degradado,Colméia,1
"Rotação de Cultura, Calagem, Adubação",,Miracema do Tocantins,1
Aceiros,Não possui degradação,Cristalândia,1
"Calagem, Adubação",Pouco degradado,Alvorada,1
"Aceiros, Calagem, Adubação",Pouco degradado,Rio Sono,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",Pouco degradado,Barrolândia,1
"Aceiros, Adubação",Degradação Média,Dueré,1
"Aceiros, Calagem, Adubação",Degradação Média,Silvanópolis,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",,Araguatins,1
Aceiros,Degradação Média,Paraíso do Tocantins,1
"Rotação de Cultura, Recuperação de pastagens",Não possui degradação,Lagoa da Confusão,1
"Curva de nível, Adubação verde, Aceiros, Calagem",Não possui degradação,Nova Olinda,1
"Rotação de Cultura, Consórcio, ILPF - Integração Lavoura Pecuária e Floresta, Recuperação de pastagens, Adubação",Não possui degradação,Dianópolis,1
"Rotação de Cultura, Aceiros, Adubação",,Tupirama,1
"Aceiros, Calagem, Adubação",,Silvanópolis,1
Não Usa,,Araguaçu,1
"Reaproveitamento de residuos, Aceiros, Calagem",Não possui degradação,Tocantínia,1
"Aceiros, Recuperação de pastagens, Adubação",Não possui degradação,Pium,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,1
"Adubação verde, Aceiros",,Almas,1
"Curva de nível, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem",Não possui degradação,Nova Olinda,1
Aceiros,Degradação Média,Porto Alegre do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio, Adubação",Não possui degradação,Dianópolis,1
"Rotação de Cultura, Aceiros",Pouco degradado,Araguaína,1
"Aceiros, Consórcio, Adubação",Pouco degradado,Riachinho,1
"Rotação de Cultura, Aceiros, Adubação",,dois Irmãos do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Adubação",,Bandeirantes do Tocantins,1
"Reaproveitamento de residuos, Descarte correto de embalagens",Não possui degradação,Riachinho,1
"Reaproveitamento de residuos, Aceiros, Consórcio",Degradação Média,Dianópolis,1
"Adubação verde, Plantio direto, Adubação",,Lajeado,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Degradação Média,Monte do Carmo,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio, Adubação",Pouco degradado,Aparecida do Rio Negro,1
"Aceiros, Consórcio, Adubação",Não possui degradação,,1
"Aceiros, Adubação, Não Usa",Não possui degradação,Novo Jardim,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio",Não possui degradação,Dianópolis,1
"Aceiros, Adubação",Muito degradado,Dueré,1
"Rotação de Cultura, Recuperação de pastagens",Não possui degradação,Paranã,1
"Adubação verde, Reaproveitamento de residuos, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,São Bento do Tocantins,1
"Curva de nível, Rotação de Cultura, Aceiros",Não possui degradação,Paranã,1
"Aceiros, Descarte correto de embalagens",Degradação Média,Bandeirantes do Tocantins,1
"Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens",Não possui degradação,Xambioá,1
"Adubação verde, Adubação",Não possui degradação,Palmas,1
"Aceiros, Consórcio, Descarte correto de embalagens, Adubação",Não possui degradação,Santa Terezinha do Tocantins,1
Aceiros,,Monte do Carmo,1
"Aceiros, Descarte correto de embalagens",Pouco degradado,Bandeirantes do Tocantins,1
"Adubação verde, Aceiros, Calagem, Adubação",Não possui degradação,Rio dos Bois,1
Rotação de Cultura,Degradação Média,Piraquê,1
"Rotação de Cultura, Aceiros, Adubação",Pouco degradado,Araguaína,1
"Rotação de Cultura, Aceiros, Adubação",Degradação Média,Chapada de Areia,1
"Calagem, Adubação",Pouco degradado,Fátima,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",Não possui degradação,Monte Santo do Tocantins,1
"Rotação de Cultura, Aceiros, Consórcio",Pouco degradado,Novo Acordo,1
"Adubação verde, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,1
"Rotação de Cultura, Aceiros",Não possui degradação,Nova Olinda,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",Degradação Média,Pium,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Não possui degradação,dois Irmãos do Tocantins,1
Reaproveitamento de residuos,Degradação Média,Cristalândia,1
"Rotação de Cultura, Aceiros, Adubação",Pouco degradado,Pium,1
"Adubação verde, Aceiros, Calagem, Adubação",Pouco degradado,Paraíso do Tocantins,1
"Calagem, Plantio direto",Não possui degradação,Dianópolis,1
"Calagem, Adubação",Degradação Média,Araguaína,1
Adubação,Não possui degradação,Bom Jesus do Tocantins,1
Não Usa,Pouco degradado,Miranorte,1
"Aceiros, Calagem",Não possui degradação,Ananás,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Não possui degradação,Rio Sono,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Descarte correto de embalagens",,Sítio Novo do Tocantins,1
"Reaproveitamento de residuos, Calagem, Descarte correto de embalagens, Adubação",Pouco degradado,Rio dos Bois,1
"Adubação verde, Aceiros, Adubação",Pouco degradado,Santa Maria do Tocantins,1
"Aceiros, Adubação",Não possui degradação,Figueirópolis,1
"Reaproveitamento de residuos, Aceiros, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
"Adubação verde, Plantio direto",Pouco degradado,Dianópolis,1
"Adubação verde, Calagem, Consórcio, Plantio direto, Adubação",Não possui degradação,Dianópolis,1
"Curva de nível, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Não possui degradação,Almas,1
"Aceiros, Calagem, Consórcio, Adubação",Não possui degradação,Divinópolis do Tocantins,1
"Rotação de Cultura, Calagem, Adubação",,Axixá do Tocantins,1
Não Usa,Não possui degradação,Luzinópolis,1
Adubação,Não possui degradação,Dueré,1
"Adubação verde, Adubação",Degradação Média,Marianópolis do Tocantins,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens",Não possui degradação,Almas,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Pouco degradado,Miracema do Tocantins,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",Pouco degradado,Paranã,1
"Aceiros, Adubação",Pouco degradado,Pium,1
"Rotação de Cultura, Consórcio",Pouco degradado,Paranã,1
"Rotação de Cultura, Aceiros",Não possui degradação,Paranã,1
"Adubação verde, Reaproveitamento de residuos",,Chapada de Areia,1
"Rotação de Cultura, Adubação",,Monte Santo do Tocantins,1
Aceiros,Pouco degradado,Tupirama,1
Não Usa,Pouco degradado,Cristalândia,1
"Adubação verde, Plantio direto, Adubação",Não possui degradação,Araguanã,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",Muito degradado,Santa Fé do Araguaia,1
Aceiros,Pouco degradado,Goiatins,1
Aceiros,Pouco degradado,Marianópolis do Tocantins,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Não possui degradação,Marianópolis do Tocantins,1
Aceiros,Pouco degradado,Aragominas,1
Aceiros,,Filadélfia,1
"Aceiros, Recuperação de pastagens, Adubação",,Barrolândia,1
"Rotação de Cultura, Adubação",,Sítio Novo do Tocantins,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Cariri do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",,Nova Rosalândia,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Não possui degradação,Dianópolis,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Não possui degradação,Palmeiras do Tocantins,1
"Adubação verde, Reaproveitamento de residuos",,Caseara,1
"Aceiros, Consórcio",Pouco degradado,Aurora do Tocantins,1
"Aceiros, Adubação",Pouco degradado,Jaú do Tocantins,1
"Rotação de Cultura, Consórcio, Recuperação de pastagens, Adubação",Pouco degradado,Pium,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Wanderlândia,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Não possui degradação,Palmeiras do Tocantins,1
"Aceiros, Adubação",Pouco degradado,Novo Jardim,1
Rotação de Cultura,Degradação Média,Chapada da Natividade,1
"Reaproveitamento de residuos, Aceiros, Calagem, Descarte correto de embalagens, Adubação",Pouco degradado,Rio dos Bois,1
Aceiros,Pouco degradado,Peixe,1
Aceiros,Não possui degradação,Lagoa da Confusão,1
Aceiros,Pouco degradado,Carmolândia,1
"Curva de nível, Reaproveitamento de residuos, Recuperação de pastagens, Plantio direto",Degradação Média,Araguaçu,1
Calagem,Pouco degradado,Chapada da Natividade,1
Aceiros,Não possui degradação,Miranorte,1
Calagem,Não possui degradação,Axixá do Tocantins,1
Não Usa,Pouco degradado,Palmeirópolis,1
Rotação de Cultura,Pouco degradado,Monte Santo do Tocantins,1
Aceiros,,Sítio Novo do Tocantins,1
"Rotação de Cultura, Calagem, Adubação",,Rio dos Bois,1
Aceiros,Pouco degradado,Chapada da Natividade,1
"Aceiros, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto",Degradação Média,Xambioá,1
Adubação verde,Degradação Média,Dianópolis,1
"Adubação verde, Aceiros, Calagem",Pouco degradado,Chapada da Natividade,1
"Aceiros, Calagem, Adubação",Pouco degradado,Peixe,1
"Adubação verde, Rotação de Cultura, Adubação",,São Miguel do Tocantins,1
"Aceiros, Calagem, Adubação",Pouco degradado,Santa Fé do Araguaia,1
"Adubação verde, Rotação de Cultura, Recuperação de pastagens",Pouco degradado,Chapada da Natividade,1
Não Usa,Pouco degradado,Araguaçu,1
Aceiros,Não possui degradação,Miracema do Tocantins,1
Aceiros,Pouco degradado,Cristalândia,1
"Aceiros, Calagem",Pouco degradado,dois Irmãos do Tocantins,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",Degradação Média,Chapada da Natividade,1
"Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Miracema do Tocantins,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Pouco degradado,Fortaleza do Tabocão,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",Pouco degradado,Chapada da Natividade,1
"Rotação de Cultura, Adubação",Pouco degradado,Miranorte,1
Rotação de Cultura,,Almas,1
"Aceiros, Calagem, Adubação",Pouco degradado,Santa Fé do Araguaia,1
"Aceiros, Adubação",Pouco degradado,Rio Sono,1
"Aceiros, Adubação",Pouco degradado,Chapada de Areia,1
"Rotação de Cultura, Adubação",Não possui degradação,Figueirópolis,1
"Rotação de Cultura, Calagem, Descarte correto de embalagens, Adubação",Pouco degradado,Palmeiras do Tocantins,1
"Rotação de Cultura, Calagem, Adubação",Pouco degradado,Axixá do Tocantins,1
"Rotação de Cultura, Calagem, Adubação",Pouco degradado,Axixá do Tocantins,1
"Curva de nível, Aceiros, Calagem, Adubação",Não possui degradação,São Salvador do Tocantins,1
Descarte correto de embalagens,Não possui degradação,Itaporã do Tocantins,1
Adubação verde,Pouco degradado,Chapada da Natividade,1
"Aceiros, Plantio direto, Adubação",Degradação Média,Xambioá,1
"Adubação verde, Rotação de Cultura, Plantio direto",,Porto Nacional,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Silvanópolis,1
"Adubação verde, Aceiros, Calagem, Recuperação de pastagens, Adubação",Não possui degradação,Lajeado,1
"Aceiros, Calagem, Adubação",Não possui degradação,Divinópolis do Tocantins,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Adubação",Não possui degradação,Riachinho,1
OUTROS,Pouco degradado,Chapada da Natividade,1
"Aceiros, Calagem",Pouco degradado,Pium,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Ponte Alta do Bom Jesus,1
"Calagem, Adubação",Pouco degradado,Pium,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens",Pouco degradado,Xambioá,1
"Curva de nível, Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",Pouco degradado,Colméia,1
"Curva de nível, Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",Pouco degradado,Colméia,1
"Aceiros, Consórcio, Descarte correto de embalagens, Adubação",Não possui degradação,Araguaína,1
"Aceiros, Calagem, Adubação",Não possui degradação,Ipueiras,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",,Peixe,1
"Curva de nível, Rotação de Cultura, Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Não possui degradação,Riachinho,1
"Aceiros, Calagem, Consórcio, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Divinópolis do Tocantins,1
"Aceiros, Calagem, Adubação",Não possui degradação,Divinópolis do Tocantins,1
"Adubação verde, Aceiros, Adubação",Não possui degradação,Miranorte,1
Não Usa,,Nova Olinda,1
Não Usa,,Pugmil,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto",Pouco degradado,Paranã,1
"Reaproveitamento de residuos, Aceiros",Pouco degradado,Cristalândia,1
"Curva de nível, Aceiros, Calagem, Adubação",Degradação Média,São Salvador do Tocantins,1
Rotação de Cultura,Pouco degradado,Miracema do Tocantins,1
"Rotação de Cultura, Calagem, Adubação",Pouco degradado,Axixá do Tocantins,1
"Aceiros, Consórcio, Recuperação de pastagens, Adubação",Degradação Média,Lagoa da Confusão,1
Aceiros,Não possui degradação,Novo Jardim,1
"Adubação verde, Rotação de Cultura, Calagem, Adubação",Não possui degradação,Rio da Conceição,1
"Rotação de Cultura, Descarte correto de embalagens, Adubação",Não possui degradação,Ananás,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",,Santa Maria do Tocantins,1
"Rotação de Cultura, Aceiros, Consórcio",Pouco degradado,Lagoa da Confusão,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens",Não possui degradação,Axixá do Tocantins,1
"Rotação de Cultura, ILPF - Integração Lavoura Pecuária e Floresta, Descarte correto de embalagens",,Sítio Novo do Tocantins,1
Aceiros,Não possui degradação,Divinópolis do Tocantins,1
"Consórcio, Recuperação de pastagens, Adubação",Pouco degradado,Barrolândia,1
"Curva de nível, Aceiros",Degradação Média,São Salvador do Tocantins,1
"Reaproveitamento de residuos, Adubação",Não possui degradação,Caseara,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Miracema do Tocantins,1
"Aceiros, Adubação",,Axixá do Tocantins,1
Não Usa,,Talismã,1
"Aceiros, Plantio direto, Adubação",Degradação Média,darcinópolis,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens",Não possui degradação,Palmeiras do Tocantins,1
"Rotação de Cultura, Aceiros",Pouco degradado,Xambioá,1
"Calagem, Consórcio, Adubação",Degradação Média,Crixás do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",,Babaçulândia,1
"Aceiros, Recuperação de pastagens",Não possui degradação,Araguaçu,1
"Rotação de Cultura, Aceiros, Plantio direto, Adubação",Não possui degradação,Riachinho,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Degradação Média,Marianópolis do Tocantins,1
"Plantio direto, Adubação",Não possui degradação,Dianópolis,1
"Aceiros, Adubação",Não possui degradação,Figueirópolis,1
"Aceiros, Adubação",Pouco degradado,Piraquê,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",,Guaraí,1
"Aceiros, Calagem, Adubação",Pouco degradado,Santa Fé do Araguaia,1
"Adubação verde, Aceiros, Adubação",Pouco degradado,Caseara,1
"Aceiros, Calagem, Adubação",Pouco degradado,Santa Fé do Araguaia,1
"Rotação de Cultura, Aceiros",Não possui degradação,Piraquê,1
"Rotação de Cultura, Calagem, Consórcio, Adubação",,Paraíso do Tocantins,1
"Rotação de Cultura, Calagem, Adubação",,São Miguel do Tocantins,1
"Aceiros, Calagem, Adubação",Não possui degradação,Araguaína,1
"Aceiros, Calagem, Adubação",Degradação Média,Aliança do Tocantins,1
"Reaproveitamento de residuos, Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,Rio dos Bois,1
"Rotação de Cultura, Aceiros",,Wanderlândia,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto",,Paranã,1
"Aceiros, Calagem, Adubação",Pouco degradado,Piraquê,1
Não Usa,Não possui degradação,Dianópolis,1
"Curva de nível, Rotação de Cultura, Aceiros, Calagem",Pouco degradado,Cariri do Tocantins,1
"Aceiros, Plantio direto",,Carmolândia,1
"Adubação verde, Rotação de Cultura",,Dianópolis,1
Aceiros,Pouco degradado,Aragominas,1
"Rotação de Cultura, Aceiros, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto",Degradação Média,Xambioá,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Não possui degradação,Luzinópolis,1
Aceiros,Não possui degradação,Paraíso do Tocantins,1
Aceiros,Pouco degradado,Cristalândia,1
"Reaproveitamento de residuos, Plantio direto, Adubação",,Nova Rosalândia,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",Degradação Média,Cariri do Tocantins,1
Aceiros,,Santa Terezinha do Tocantins,1
"Aceiros, Calagem",Muito degradado,Santa Rita do Tocantins,1
Calagem,Não possui degradação,Abreulândia,1
Aceiros,Não possui degradação,Caseara,1
"Aceiros, Adubação",Pouco degradado,Wanderlândia,1
Aceiros,Não possui degradação,Miracema do Tocantins,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens",Não possui degradação,Wanderlândia,1
"Aceiros, Recuperação de pastagens",Degradação Média,Nova Olinda,1
Aceiros,Pouco degradado,Aragominas,1
Adubação verde,,Silvanópolis,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Plantio direto",Pouco degradado,Riachinho,1
"Rotação de Cultura, Aceiros",,Talismã,1
"Aceiros, Recuperação de pastagens, Adubação",,darcinópolis,1
Não Usa,Muito degradado,Marianópolis do Tocantins,1
"Adubação verde, Rotação de Cultura, Plantio direto, Adubação",Degradação Média,Xambioá,1
"Rotação de Cultura, Calagem, Adubação",Pouco degradado,Miranorte,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",,Riachinho,1
"Adubação verde, Rotação de Cultura, Plantio direto, Adubação",Pouco degradado,Araguanã,1
"Rotação de Cultura, Aceiros",,Axixá do Tocantins,1
"Rotação de Cultura, Calagem, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Adubação",Pouco degradado,Dianópolis,1
"Reaproveitamento de residuos, Aceiros, Adubação",Não possui degradação,Marianópolis do Tocantins,1
"Aceiros, Calagem, Adubação",Pouco degradado,Paraíso do Tocantins,1
"Calagem, Adubação",Pouco degradado,Miranorte,1
Aceiros,,Paraíso do Tocantins,1
Adubação,Muito degradado,Aliança do Tocantins,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Pouco degradado,Miracema do Tocantins,1
"Consórcio, Adubação",,Porto Nacional,1
Não Usa,Degradação Média,Crixás do Tocantins,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Fortaleza do Tabocão,1
"Adubação verde, Aceiros",Não possui degradação,Palmas,1
"Reaproveitamento de residuos, Aceiros",Pouco degradado,Filadélfia,1
"Rotação de Cultura, Aceiros, Calagem, Plantio direto, Adubação",Não possui degradação,Riachinho,1
Aceiros,Degradação Média,Araguanã,1
Calagem,Não possui degradação,Dianópolis,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",,Peixe,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Barrolândia,1
Aceiros,,Caseara,1
"Rotação de Cultura, Plantio direto",Não possui degradação,Esperantina,1
"Aceiros, Adubação",Pouco degradado,Paraíso do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",Não possui degradação,Centenário,1
"Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,Silvanópolis,1
"Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,Divinópolis do Tocantins,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Miracema do Tocantins,1
"Rotação de Cultura, Descarte correto de embalagens, Adubação",,darcinópolis,1
"Aceiros, Calagem",Não possui degradação,Miranorte,1
"Rotação de Cultura, Aceiros, Adubação",Pouco degradado,Xambioá,1
"Aceiros, Recuperação de pastagens, Plantio direto",Pouco degradado,Barrolândia,1
"Calagem, Adubação",Degradação Média,Fátima,1
"Calagem, Adubação",Pouco degradado,Gurupi,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Plantio direto",Pouco degradado,Babaçulândia,1
"Aceiros, Calagem, Adubação",Pouco degradado,Miracema do Tocantins,1
"Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens",Pouco degradado,Goiatins,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Pouco degradado,Rio dos Bois,1
"Adubação verde, Rotação de Cultura, Calagem, Adubação",,São Miguel do Tocantins,1
"Aceiros, Calagem, Adubação",Pouco degradado,Monte Santo do Tocantins,1
Não Usa,Não possui degradação,Guaraí,1
"Calagem, Adubação",Não possui degradação,Axixá do Tocantins,1
Aceiros,Pouco degradado,Piraquê,1
"Aceiros, Plantio direto",Pouco degradado,Pium,1
Adubação,Degradação Média,Divinópolis do Tocantins,1
"Aceiros, Calagem",Não possui degradação,Aparecida do Rio Negro,1
"Reaproveitamento de residuos, Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Fortaleza do Tabocão,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Plantio direto",Pouco degradado,Babaçulândia,1
Aceiros,Degradação Média,Angico,1
Aceiros,Não possui degradação,Dianópolis,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,Paranã,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens",Pouco degradado,Cachoeirinha,1
"Aceiros, Calagem",Não possui degradação,Cristalândia,1
Recuperação de pastagens,Degradação Média,Luzinópolis,1
"Aceiros, Calagem, Adubação",,São Salvador do Tocantins,1
Aceiros,Degradação Média,Miracema do Tocantins,1
"Aceiros, Plantio direto",Não possui degradação,Carmolândia,1
