uso_de_praticas_sustentaveis_,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens_,municipio_ibge,count
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",,Wanderlândia,1
Aceiros,,Axixá do Tocantins,1
"Rotação de Cultura, Aceiros",,Axixá do Tocantins,1
"Aceiros, Calagem, Adubação",Degradação Média,Santa Fé do Araguaia,1
"Rotação de Cultura, Aceiros",Pouco degradado,Piraquê,1
"Aceiros, Adubação",Pouco degradado,Tocantínia,1
"Rotação de Cultura, Consórcio",Pouco degradado,Tocantínia,1
"Aceiros, Calagem, Adubação",Não possui degradação,Rio Sono,1
"Rotação de Cultura, Aceiros",Pouco degradado,Chapada da Natividade,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Adubação",Degradação Média,Bandeirantes do Tocantins,1
"Aceiros, Calagem",Pouco degradado,Nova Olinda,1
Aceiros,Degradação Média,Monte Santo do Tocantins,1
Adubação,,Gurupi,1
Aceiros,Muito degradado,Novo Acordo,1
"Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Xambioá,1
Aceiros,Degradação Média,São Miguel do Tocantins,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens",Pouco degradado,Novo Acordo,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens",Não possui degradação,Piraquê,1
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",Degradação Média,Ipueiras,1
"Rotação de Cultura, Aceiros, Calagem",Pouco degradado,Piraquê,1
"Rotação de Cultura, Aceiros, Consórcio, Adubação",Degradação Média,Angico,1
"Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Adubação",Degradação Média,Angico,1
"Rotação de Cultura, Aceiros, Calagem",Pouco degradado,Goiatins,1
"Calagem, Adubação",Pouco degradado,Aurora do Tocantins,1
Não Usa,Degradação Média,Marianópolis do Tocantins,1
"Adubação verde, Plantio direto",,Pugmil,1
"Adubação verde, Aceiros",Não possui degradação,Lagoa da Confusão,1
"Rotação de Cultura, Plantio direto, Adubação",,Miracema do Tocantins,1
"Rotação de Cultura, Adubação",,dois Irmãos do Tocantins,1
"Aceiros, Calagem, Adubação",,dois Irmãos do Tocantins,1
"Calagem, Adubação",,Miracema do Tocantins,1
"Adubação verde, Aceiros",,Pedro Afonso,1
Não Usa,Pouco degradado,Miracema do Tocantins,1
Aceiros,,Rio Sono,1
Aceiros,Pouco degradado,Gurupi,1
Aceiros,Não possui degradação,Rio Sono,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",Degradação Média,Miracema do Tocantins,1
"Rotação de Cultura, Calagem, Adubação",,Silvanópolis,1
"Rotação de Cultura, Aceiros, Recuperação de pastagens, Adubação",,Palmeiras do Tocantins,1
"Aceiros, Descarte correto de embalagens",,Palmeiras do Tocantins,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",,darcinópolis,1
"Adubação verde, Adubação",,Porto Nacional,1
"Curva de nível, Aceiros, Calagem, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Almas,1
Não Usa,,Silvanópolis,1
Rotação de Cultura,,São Miguel do Tocantins,1
"Aceiros, Calagem, Adubação",Pouco degradado,Divinópolis do Tocantins,1
"Aceiros, Consórcio",,Tocantínia,1
"Adubação verde, Não Usa",,Chapada de Areia,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens",,Filadélfia,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Descarte correto de embalagens, Plantio direto, Adubação",,Araguatins,1
"Reaproveitamento de residuos, Aceiros",Não possui degradação,Almas,1
Plantio direto,Degradação Média,Nova Rosalândia,1
Adubação,Pouco degradado,Almas,1
"Aceiros, Adubação",Pouco degradado,Figueirópolis,1
"Adubação verde, Calagem, Adubação",,Esperantina,1
"Adubação verde, Rotação de Cultura, Calagem, Plantio direto, Adubação",,Rio da Conceição,1
"Aceiros, Calagem, Adubação",,Ponte Alta do Bom Jesus,1
"Curva de nível, Aceiros, Calagem, Adubação",,Palmeirópolis,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Consórcio",,Cristalândia,1
"Rotação de Cultura, Aceiros, Calagem, Plantio direto, Adubação",,Abreulândia,1
"Adubação verde, Plantio direto",,Lajeado,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Araguatins,1
Aceiros,Não possui degradação,Rio Sono,1
"Calagem, Adubação",Não possui degradação,Miracema do Tocantins,1
Aceiros,Pouco degradado,Pium,1
Aceiros,Pouco degradado,Sucupira,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",,Paraíso do Tocantins,1
"Aceiros, Calagem, Consórcio",Não possui degradação,Aliança do Tocantins,1
"Calagem, Adubação",Não possui degradação,Miranorte,1
Aceiros,Degradação Média,Filadélfia,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens, Adubação",Não possui degradação,Axixá do Tocantins,1
Não Usa,,Lagoa da Confusão,1
Calagem,Não possui degradação,Divinópolis do Tocantins,1
"Aceiros, Adubação",Pouco degradado,Chapada da Natividade,1
"Aceiros, Recuperação de pastagens",Degradação Média,Sítio Novo do Tocantins,1
Adubação,,São Miguel do Tocantins,1
"Rotação de Cultura, Adubação",Pouco degradado,Peixe,1
"Rotação de Cultura, Calagem, Adubação",,Miranorte,1
"Rotação de Cultura, Aceiros, Adubação",,Barrolândia,1
"Reaproveitamento de residuos, Aceiros, Adubação",,Araguaína,1
"Aceiros, Consórcio",,Ananás,1
"Reaproveitamento de residuos, Aceiros, Adubação",Pouco degradado,Aurora do Tocantins,1
"Aceiros, Calagem, Adubação",Não possui degradação,Novo Jardim,1
"Aceiros, Calagem, Adubação",,,1
"Rotação de Cultura, Calagem, Plantio direto, Adubação",,Rio da Conceição,1
"Rotação de Cultura, Plantio direto, Adubação",,Rio da Conceição,1
"Aceiros, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
"Aceiros, Calagem, Recuperação de pastagens, Adubação",Pouco degradado,Chapada de Areia,1
Não Usa,,Marianópolis do Tocantins,1
"Curva de nível, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Divinópolis do Tocantins,1
"Aceiros, Adubação",Não possui degradação,Cristalândia,1
Aceiros,Pouco degradado,Gurupi,1
"Aceiros, Calagem",Não possui degradação,Miranorte,1
"Aceiros, Calagem, Adubação",Degradação Média,Silvanópolis,1
"Aceiros, Calagem",,Aragominas,1
"Plantio direto, Adubação",Não possui degradação,Chapada de Areia,1
"Recuperação de pastagens, Adubação",Pouco degradado,Cachoeirinha,1
"Aceiros, Adubação",Pouco degradado,Abreulândia,1
Calagem,,Dianópolis,1
"Rotação de Cultura, Aceiros, Consórcio, Plantio direto",Degradação Média,Paranã,1
"Plantio direto, Adubação",Pouco degradado,Bom Jesus do Tocantins,1
"Aceiros, Calagem",Degradação Média,Jaú do Tocantins,1
Não Usa,Pouco degradado,Bandeirantes do Tocantins,1
"Aceiros, Descarte correto de embalagens",Degradação Média,Santa Terezinha do Tocantins,1
"Rotação de Cultura, Consórcio",,Tocantínia,1
"Aceiros, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
Adubação,,Caseara,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",Não possui degradação,Araguaína,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Não possui degradação,Colméia,1
Adubação,Muito degradado,Filadélfia,1
"Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,Ipueiras,1
"Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens",Degradação Média,Ponte Alta do Bom Jesus,1
"Rotação de Cultura, Adubação",,Nova Rosalândia,1
"Aceiros, Adubação",,Dianópolis,1
"Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Adubação",,Dianópolis,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,Pugmil,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",,Palmeiras do Tocantins,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",,Palmeiras do Tocantins,1
"Descarte correto de embalagens, Adubação",Pouco degradado,Jaú do Tocantins,1
"Aceiros, Descarte correto de embalagens, Adubação",,Palmeiras do Tocantins,1
"Aceiros, Calagem, Adubação",Degradação Média,Jaú do Tocantins,1
"Adubação verde, Aceiros",Não possui degradação,Araguanã,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Recuperação de pastagens, Adubação",Pouco degradado,Couto Magalhães,1
"Aceiros, Adubação",,Aguiarnópolis,1
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",,dois Irmãos do Tocantins,1
"Aceiros, Calagem, Adubação",,Wanderlândia,1
"Aceiros, Calagem",,Wanderlândia,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",,Bom Jesus do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",,Pedro Afonso,1
"Aceiros, Adubação",Não possui degradação,Pium,1
"Adubação verde, Aceiros, Calagem, Adubação",,Palmas,1
Não Usa,,Tocantínia,1
"Aceiros, Calagem, Adubação",Não possui degradação,Caseara,1
"Curva de nível, Adubação verde, Plantio direto, Adubação",,Palmas,1
Aceiros,Pouco degradado,Jaú do Tocantins,1
"Aceiros, Recuperação de pastagens, Adubação",Pouco degradado,Barrolândia,1
Consórcio,Não possui degradação,Filadélfia,1
Aceiros,,Monte do Carmo,1
"Aceiros, Calagem, Plantio direto",Pouco degradado,Silvanópolis,1
"Adubação verde, Reaproveitamento de residuos",,Paraíso do Tocantins,1
Aceiros,Degradação Média,Cristalândia,1
"Aceiros, Calagem, Adubação",Não possui degradação,Dianópolis,1
"Adubação verde, Reaproveitamento de residuos, Adubação",Não possui degradação,Caseara,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",,Esperantina,1
"Aceiros, Adubação",Não possui degradação,Rio dos Bois,1
"Aceiros, Consórcio",Pouco degradado,Ananás,1
Não Usa,,Monte Santo do Tocantins,1
Aceiros,,Dianópolis,1
"Rotação de Cultura, Aceiros, Descarte correto de embalagens, Adubação",Não possui degradação,Itaguatins,1
"Curva de nível, Aceiros",Não possui degradação,São Salvador do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Plantio direto, Adubação",Degradação Média,Nova Rosalândia,1
"Aceiros, Calagem",Não possui degradação,Rio dos Bois,1
"Aceiros, Calagem",Não possui degradação,Rio Sono,1
Não Usa,,Miracema do Tocantins,1
"Calagem, Consórcio, ILP - Integração Lavoura Pecuária, Recuperação de pastagens",Pouco degradado,Aliança do Tocantins,1
"Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto",Pouco degradado,Paranã,1
"Aceiros, Calagem",Não possui degradação,Ponte Alta do Bom Jesus,1
Não Usa,,Porto Nacional,1
"Rotação de Cultura, Aceiros, Consórcio",,Tocantínia,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Recuperação de pastagens, Plantio direto",Degradação Média,Babaçulândia,1
Aceiros,,Praia Norte,1
"Aceiros, Calagem",Não possui degradação,dois Irmãos do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",,Piraquê,1
"Adubação verde, Rotação de Cultura, Aceiros, Calagem, Adubação",,dois Irmãos do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",,Tupirama,1
"Reaproveitamento de residuos, Aceiros",,Araguaína,1
"Rotação de Cultura, Aceiros",,Santa Maria do Tocantins,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens, Plantio direto",Não possui degradação,Palmas,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Plantio direto, Adubação",Não possui degradação,Dianópolis,1
"Rotação de Cultura, Aceiros, Adubação",Não possui degradação,Caseara,1
"Rotação de Cultura, Plantio direto, Adubação",Pouco degradado,Araguanã,1
"Reaproveitamento de residuos, Calagem, Consórcio, Adubação",Degradação Média,Nova Rosalândia,1
"Aceiros, Não Usa",Muito degradado,Filadélfia,1
"Aceiros, Calagem",Pouco degradado,Ponte Alta do Bom Jesus,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Adubação",,Luzinópolis,1
"Aceiros, Adubação",Não possui degradação,Cristalândia,1
"Reaproveitamento de residuos, Aceiros, Calagem",Pouco degradado,Cristalândia,1
"Aceiros, Adubação",Não possui degradação,Novo Jardim,1
Aceiros,Pouco degradado,Cristalândia,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",,Guaraí,1
Aceiros,Degradação Média,Ponte Alta do Bom Jesus,1
Rotação de Cultura,Não possui degradação,Paranã,1
"Aceiros, Adubação",,Peixe,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",Pouco degradado,Pugmil,1
"Aceiros, Calagem, Plantio direto, Adubação",Não possui degradação,Miranorte,1
Adubação,,Pium,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Plantio direto, Adubação",Não possui degradação,Cristalândia,1
Não Usa,Não possui degradação,Dianópolis,1
Aceiros,Não possui degradação,Carmolândia,1
"Aceiros, Descarte correto de embalagens, Plantio direto, Adubação",Degradação Média,Palmeiras do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Consórcio, Adubação",Não possui degradação,Nova Olinda,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto, Adubação",,Babaçulândia,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",,Almas,1
"Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,Silvanópolis,1
Aceiros,Não possui degradação,Cristalândia,1
"Aceiros, Calagem, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
"Rotação de Cultura, Aceiros, Calagem",,Nova Olinda,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",,Nova Olinda,1
"Descarte correto de embalagens, Adubação",Pouco degradado,Miracema do Tocantins,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Pouco degradado,Filadélfia,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,Paranã,1
"Adubação verde, Calagem, Adubação",,Esperantina,1
Aceiros,,Monte do Carmo,1
"Aceiros, Calagem, Adubação",Degradação Média,Muricilândia,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",,Nova Olinda,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",Pouco degradado,Itaguatins,1
"Rotação de Cultura, Consórcio, Descarte correto de embalagens, Adubação",,Angico,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",Pouco degradado,Paraíso do Tocantins,1
Aceiros,Não possui degradação,Dianópolis,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Adubação",Não possui degradação,Nova Olinda,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens",Não possui degradação,Araguatins,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",,Wanderlândia,1
"Rotação de Cultura, Aceiros",,Tocantínia,1
"Adubação verde, Calagem, Consórcio, Adubação",Pouco degradado,Dianópolis,1
"Reaproveitamento de residuos, Aceiros, Calagem, Consórcio, Adubação",Degradação Média,Nova Olinda,1
"Adubação verde, Rotação de Cultura, Calagem, Adubação",Muito degradado,Rio da Conceição,1
Plantio direto,Muito degradado,Chapada de Areia,1
"Rotação de Cultura, Aceiros, Calagem, Recuperação de pastagens",Pouco degradado,Goiatins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, ILPF - Integração Lavoura Pecuária e Floresta, ILP - Integração Lavoura Pecuária, Recuperação de pastagens, Plantio direto,",Não possui degradação,Esperantina,1
Calagem,Não possui degradação,Axixá do Tocantins,1
Calagem,Não possui degradação,Axixá do Tocantins,1
"Aceiros, Calagem, Adubação",Degradação Média,Fátima,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Pouco degradado,Couto Magalhães,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Plantio direto",,Babaçulândia,1
"Reaproveitamento de residuos, Aceiros, Consórcio",,Ananás,1
"Adubação verde, Reaproveitamento de residuos, Aceiros, Descarte correto de embalagens, Adubação",Pouco degradado,Fortaleza do Tabocão,1
"Aceiros, Recuperação de pastagens",Não possui degradação,Filadélfia,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens, Plantio direto",Pouco degradado,Babaçulândia,1
Aceiros,Não possui degradação,Pium,1
"Rotação de Cultura, Aceiros, Calagem, Descarte correto de embalagens, Adubação",,Palmeiras do Tocantins,1
Aceiros,Pouco degradado,Rio Sono,1
"Aceiros, Calagem, Plantio direto, Adubação",Pouco degradado,Figueirópolis,1
"Adubação verde, Aceiros, Calagem, Adubação",,Palmeirópolis,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio",Pouco degradado,Dianópolis,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio",,Nova Olinda,1
"Aceiros, Adubação",Não possui degradação,Dianópolis,1
Descarte correto de embalagens,Não possui degradação,Ananás,1
"Aceiros, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Degradação Média,Bandeirantes do Tocantins,1
"Adubação verde, Rotação de Cultura, Aceiros, Recuperação de pastagens",Pouco degradado,Paranã,1
"Rotação de Cultura, Aceiros, Calagem, Consórcio, Descarte correto de embalagens, Recuperação de pastagens, Adubação",Não possui degradação,Luzinópolis,1
Aceiros,Não possui degradação,Aragominas,1
"Rotação de Cultura, Calagem, Consórcio, Plantio direto, Adubação",Não possui degradação,Chapada de Areia,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",Pouco degradado,Gurupi,1
"Rotação de Cultura, Aceiros, Consórcio",Não possui degradação,Angico,1
Aceiros,Não possui degradação,Dianópolis,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Adubação",Não possui degradação,Bom Jesus do Tocantins,1
Plantio direto,Não possui degradação,Chapada de Areia,1
Rotação de Cultura,Não possui degradação,Caseara,1
Consórcio,,Palmas,1
"Adubação verde, Aceiros",Pouco degradado,Bom Jesus do Tocantins,1
Adubação,,Filadélfia,1
"Reaproveitamento de residuos, Rotação de Cultura, Calagem, Consórcio",Pouco degradado,Araguaçu,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, ILPF - Integração Lavoura Pecuária e Floresta, ILP - Integração Lavoura Pecuária, Descarte correto de embalagens, Recuperação de pastagens, Plantio direto, Adubação",Não possui degradação,Araguatins,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Pouco degradado,Nova Olinda,1
"Adubação verde, Plantio direto, Adubação",,Palmas,1
Não Usa,,Alvorada,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Calagem, Adubação",Degradação Média,Nova Rosalândia,1
"Adubação verde, Plantio direto, Adubação",,Pedro Afonso,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",,Tupirama,1
Aceiros,Pouco degradado,Tocantínia,1
"Aceiros, Plantio direto, Adubação",Pouco degradado,Santa Maria do Tocantins,1
"Reaproveitamento de residuos, Aceiros",,Sítio Novo do Tocantins,1
"Aceiros, Calagem, Adubação",Não possui degradação,Miranorte,1
"Aceiros, Calagem, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
"Adubação verde, Aceiros, Plantio direto, Adubação",Não possui degradação,Bom Jesus do Tocantins,1
Curva de nível,,Nova Olinda,1
Rotação de Cultura,Não possui degradação,Paranã,1
"Calagem, Recuperação de pastagens, Adubação",Degradação Média,Fátima,1
"Adubação verde, Rotação de Cultura",Não possui degradação,Paranã,1
"Aceiros, Calagem, Adubação",Pouco degradado,Divinópolis do Tocantins,1
Adubação verde,,Pedro Afonso,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros",,Tupirama,1
"Aceiros, Calagem, Adubação",,Fátima,1
"Aceiros, Adubação",Não possui degradação,,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Adubação",,Itaguatins,1
"Aceiros, Calagem, Adubação",,Palmas,1
"Aceiros, Calagem, Consórcio",,Nova Olinda,1
"Rotação de Cultura, Calagem, Adubação",,Palmeirópolis,1
"Rotação de Cultura, Aceiros, Adubação",,Nova Olinda,1
"Adubação verde, Rotação de Cultura, Aceiros",,Esperantina,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",,Caseara,1
"Aceiros, Calagem, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
"Adubação verde, Aceiros, Plantio direto",,Palmas,1
"Aceiros, Recuperação de pastagens, Adubação",Não possui degradação,Miracema do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",Pouco degradado,Couto Magalhães,1
"Adubação verde, Rotação de Cultura, Calagem, Recuperação de pastagens, Plantio direto, Adubação",Degradação Média,Dianópolis,1
"Rotação de Cultura, Aceiros, Calagem, Adubação",Não possui degradação,Pium,1
"Reaproveitamento de residuos, Aceiros, Adubação",Pouco degradado,dois Irmãos do Tocantins,1
"Rotação de Cultura, Calagem, ILPF - Integração Lavoura Pecuária e Floresta",Não possui degradação,Paranã,1
Calagem,Degradação Média,Santa Rita do Tocantins,1
"Curva de nível, Aceiros",Degradação Média,Nova Olinda,1
"Aceiros, Calagem",Pouco degradado,Santa Rita do Tocantins,1
"Calagem, Adubação",Pouco degradado,Fátima,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Consórcio, Adubação, Apiário",Pouco degradado,Araguaína,1
"Aceiros, Recuperação de pastagens, Adubação",Degradação Média,Araguaína,1
Não Usa,Não possui degradação,Caseara,1
Rotação de Cultura,Não possui degradação,Itaguatins,1
"Aceiros, Calagem",Pouco degradado,Fátima,1
"Reaproveitamento de residuos, Aceiros, ILP - Integração Lavoura Pecuária",Não possui degradação,Nova Olinda,1
"Adubação verde, Rotação de Cultura",,Paranã,1
"Aceiros, Calagem, Recuperação de pastagens",Não possui degradação,Dianópolis,1
"Adubação verde, Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",,dois Irmãos do Tocantins,1
"Rotação de Cultura, Aceiros, Adubação",Pouco degradado,Nova Olinda,1
Aceiros,,Porto Nacional,1
"Aceiros, Consórcio, Adubação",Pouco degradado,darcinópolis,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Consórcio, Recuperação de pastagens, Adubação",Degradação Média,Nova Olinda,1
"Aceiros, Calagem, Adubação",Pouco degradado,Santa Rita do Tocantins,1
"Rotação de Cultura, Aceiros, Consórcio, Adubação",Pouco degradado,Novo Acordo,1
"Adubação verde, Aceiros",,Pedro Afonso,1
"Reaproveitamento de residuos, Aceiros, Calagem, Adubação",Pouco degradado,Divinópolis do Tocantins,1
"Adubação verde, Calagem",Pouco degradado,Miracema do Tocantins,1
"Aceiros, Plantio direto, Adubação",Não possui degradação,Pedro Afonso,1
"Curva de nível, Rotação de Cultura, Aceiros, Consórcio, Adubação",,Nova Olinda,1
Rotação de Cultura,,Paranã,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros",,Luzinópolis,1
"Plantio direto, Adubação",,Miracema do Tocantins,1
Aceiros,,Dianópolis,1
"Rotação de Cultura, Plantio direto, Adubação",,Xambioá,1
Não Usa,,Paraíso do Tocantins,1
"Adubação verde, Reaproveitamento de residuos, Plantio direto, Adubação",,Couto Magalhães,1
Aceiros,Pouco degradado,Nova Olinda,1
"Curva de nível, Adubação verde, Reaproveitamento de residuos, Consórcio, Recuperação de pastagens",,Palmas,1
"Adubação verde, Aceiros, Consórcio",Pouco degradado,Araguaína,1
"Reaproveitamento de residuos, Aceiros, Adubação",Pouco degradado,Araguaína,1
"Reaproveitamento de residuos, Rotação de Cultura, Aceiros, Calagem, Adubação",Degradação Média,Dianópolis,1
"Aceiros, Calagem, Adubação",Degradação Média,Cariri do Tocantins,1
Adubação,Degradação Média,Aragominas,1
"Aceiros, Recuperação de pastagens",Pouco degradado,Divinópolis do Tocantins,1
Não Usa,Não possui degradação,Divinópolis do Tocantins,1
Não Usa,,Dianópolis,1
"Aceiros, Recuperação de pastagens",Não possui degradação,Palmeiras do Tocantins,1
Calagem,Pouco degradado,Miracema do Tocantins,1
