uso_de_praticas_convencionais,area_da_propriedade__hectares__,regional_,count
Plantio convencional,20 - 50 ha,Araguatins,26
Aração,20 - 50 ha,Araguatins,26
Gradagem,20 - 50 ha,Araguatins,26
Uso de agrotóxicos,20 - 50 ha,Araguatins,26
Aração,20 - 50 ha,Paraiso,25
Gradagem,20 - 50 ha,Paraiso,25
Plantio convencional,20 - 50 ha,Gurupi,24
Aração,20 - 50 ha,Araguaina,22
Gradagem,20 - 50 ha,Araguaina,22
Uso de agrotóxicos,20 - 50 ha,Araguaina,22
Aração,20 - 50 ha,Paraiso,17
Gradagem,20 - 50 ha,Paraiso,17
Uso de agrotóxicos,20 - 50 ha,Paraiso,17
Plantio convencional,20 - 50 ha,Gurupi,16
Aração,20 - 50 ha,Gurupi,16
Gradagem,20 - 50 ha,Gurupi,16
Uso de agrotóxicos,20 - 50 ha,Gurupi,16
Plantio convencional,20 - 50 ha,Paraiso,16
Aração,20 - 50 ha,Miracema,15
Gradagem,20 - 50 ha,Miracema,15
Uso de agrotóxicos,20 - 50 ha,Miracema,15
Plantio convencional,20 - 50 ha,Gurupi,14
Aração,20 - 50 ha,Gurupi,14
Gradagem,20 - 50 ha,Gurupi,14
Plantio convencional,20 - 50 ha,Paraiso,13
Aração,20 - 50 ha,Paraiso,13
Gradagem,20 - 50 ha,Paraiso,13
Uso de agrotóxicos,20 - 50 ha,Paraiso,13
Aração,20 - 50 ha,Araguatins,12
Gradagem,20 - 50 ha,Araguatins,12
Uso de agrotóxicos,20 - 50 ha,Araguatins,12
Plantio convencional,10 - 20 ha,Araguatins,11
Aração,10 - 20 ha,Araguatins,11
Gradagem,10 - 20 ha,Araguatins,11
Uso de agrotóxicos,10 - 20 ha,Araguatins,11
Plantio convencional,20 - 50 ha,Paraiso,11
Aração,20 - 50 ha,Paraiso,11
Gradagem,20 - 50 ha,Paraiso,11
Aração,10 - 20 ha,Miracema,11
Gradagem,10 - 20 ha,Miracema,11
Aração,20 - 50 ha,Miracema,11
Gradagem,20 - 50 ha,Miracema,11
Aração,5 - 10 ha,Miracema,11
Gradagem,5 - 10 ha,Miracema,11
Aração,20 - 50 ha,Gurupi,10
Gradagem,20 - 50 ha,Gurupi,10
Plantio convencional,1 - 5 ha,Paraiso,10
Aração,20 - 50 ha,Araguatins,10
Gradagem,20 - 50 ha,Araguatins,10
Não usa,20 - 50 ha,Paraiso,9
Plantio convencional,50 - 100 ha,Paraiso,8
Aração,50 - 100 ha,Paraiso,8
Gradagem,50 - 100 ha,Paraiso,8
Aração,20 - 50 ha,Paraiso,8
Gradagem,20 - 50 ha,Paraiso,8
Pastagem nativa,20 - 50 ha,Paraiso,8
Plantio convencional,50 - 100 ha,Paraiso,8
Roça de toco,20 - 50 ha,Araguaina,8
Plantio convencional,20 - 50 ha,Araguaina,8
Aração,20 - 50 ha,Araguaina,8
Gradagem,20 - 50 ha,Araguaina,8
Queimadas,20 - 50 ha,Araguaina,8
Monocultura,20 - 50 ha,Araguaina,8
Roça de toco,20 - 50 ha,Porto,8
Plantio convencional,20 - 50 ha,Porto,8
Monocultura,20 - 50 ha,Porto,8
Plantio convencional,20 - 50 ha,Araguatins,8
Aração,20 - 50 ha,Araguatins,8
Gradagem,20 - 50 ha,Araguatins,8
Plantio convencional,1 - 5 ha,Araguatins,7
Aração,1 - 5 ha,Araguatins,7
Gradagem,1 - 5 ha,Araguatins,7
Uso de agrotóxicos,1 - 5 ha,Araguatins,7
Plantio convencional,20 - 50 ha,Miracema,7
Aração,20 - 50 ha,Miracema,7
Gradagem,20 - 50 ha,Miracema,7
Uso de agrotóxicos,20 - 50 ha,Miracema,7
Não usa,Até 1 ha,Porto,7
Aração,50 - 100 ha,Araguaina,6
Gradagem,50 - 100 ha,Araguaina,6
Uso de agrotóxicos,50 - 100 ha,Araguaina,6
Uso de agrotóxicos,20 - 50 ha,Miracema,6
Plantio convencional,50 - 100 ha,Araguaina,6
Aração,50 - 100 ha,Araguaina,6
Gradagem,50 - 100 ha,Araguaina,6
Pastagem nativa,50 - 100 ha,Araguaina,6
Monocultura,50 - 100 ha,Araguaina,6
Aração,20 - 50 ha,Taguatinga,6
Gradagem,20 - 50 ha,Taguatinga,6
Plantio convencional,10 - 20 ha,Paraiso,6
Aração,10 - 20 ha,Paraiso,6
Gradagem,10 - 20 ha,Paraiso,6
Uso de agrotóxicos,10 - 20 ha,Paraiso,6
Queimadas,20 - 50 ha,Araguaina,6
Uso de agrotóxicos,20 - 50 ha,Araguaina,6
Aração,20 - 50 ha,Porto,6
Gradagem,20 - 50 ha,Porto,6
Aração,50 - 100 ha,Paraiso,6
Gradagem,50 - 100 ha,Paraiso,6
Aração,10 - 20 ha,Colinas,5
Gradagem,10 - 20 ha,Colinas,5
Uso de agrotóxicos,10 - 20 ha,Colinas,5
Não usa,20 - 50 ha,Gurupi,5
Plantio convencional,10 - 20 ha,Araguatins,5
Uso de agrotóxicos,10 - 20 ha,Araguatins,5
Aração,10 - 20 ha,Paraiso,5
Gradagem,10 - 20 ha,Paraiso,5
Plantio convencional,10 - 20 ha,Gurupi,5
Aração,10 - 20 ha,Gurupi,5
Gradagem,10 - 20 ha,Gurupi,5
Plantio convencional,20 - 50 ha,Miracema,5
Plantio convencional,10 - 20 ha,Paraiso,5
Aração,10 - 20 ha,Paraiso,5
Gradagem,10 - 20 ha,Paraiso,5
Plantio convencional,50 - 100 ha,Miracema,5
Aração,50 - 100 ha,Miracema,5
Gradagem,50 - 100 ha,Miracema,5
Uso de agrotóxicos,50 - 100 ha,Miracema,5
Plantio convencional,100 - 200 ha,Paraiso,5
Aração,100 - 200 ha,Paraiso,5
Gradagem,100 - 200 ha,Paraiso,5
Uso de agrotóxicos,100 - 200 ha,Paraiso,5
Roça de toco,20 - 50 ha,Araguaina,5
Aração,20 - 50 ha,Araguaina,5
Gradagem,20 - 50 ha,Araguaina,5
Queimadas,20 - 50 ha,Araguaina,5
Uso de agrotóxicos,20 - 50 ha,Araguaina,5
Plantio convencional,20 - 50 ha,Araguatins,5
Uso de agrotóxicos,20 - 50 ha,Araguatins,5
Plantio convencional,20 - 50 ha,Araguaina,5
Aração,20 - 50 ha,Araguaina,5
Gradagem,20 - 50 ha,Araguaina,5
Uso de agrotóxicos,20 - 50 ha,Araguaina,5
Plantio convencional,100 - 200 ha,Paraiso,5
Roça de toco,10 - 20 ha,Araguaina,5
Aração,10 - 20 ha,Araguaina,5
Gradagem,10 - 20 ha,Araguaina,5
Plantio convencional,50 - 100 ha,Paraiso,5
Aração,50 - 100 ha,Paraiso,5
Gradagem,50 - 100 ha,Paraiso,5
Uso de agrotóxicos,50 - 100 ha,Paraiso,5
Não usa,50 - 100 ha,Paraiso,5
Plantio convencional,Até 1 ha,Paraiso,5
Plantio convencional,5 - 10 ha,Araguaina,4
Aração,5 - 10 ha,Araguaina,4
Gradagem,5 - 10 ha,Araguaina,4
Uso de agrotóxicos,5 - 10 ha,Araguaina,4
Aração,50 - 100 ha,Miracema,4
Gradagem,50 - 100 ha,Miracema,4
Uso de agrotóxicos,50 - 100 ha,Miracema,4
Plantio convencional,1 - 5 ha,Paraiso,4
Aração,1 - 5 ha,Paraiso,4
Gradagem,1 - 5 ha,Paraiso,4
Roça de toco,20 - 50 ha,Araguaina,4
Plantio convencional,20 - 50 ha,Araguaina,4
Aração,20 - 50 ha,Araguaina,4
Gradagem,20 - 50 ha,Araguaina,4
Queimadas,20 - 50 ha,Araguaina,4
Uso de agrotóxicos,20 - 50 ha,Araguaina,4
Roça de toco,20 - 50 ha,Araguatins,4
Aração,20 - 50 ha,Araguatins,4
Gradagem,20 - 50 ha,Araguatins,4
Aração,Até 1 ha,Araguatins,4
Gradagem,Até 1 ha,Araguatins,4
Uso de agrotóxicos,Até 1 ha,Araguatins,4
Plantio convencional,20 - 50 ha,Araguaina,4
Monocultura,20 - 50 ha,Araguaina,4
Uso de agrotóxicos,20 - 50 ha,Araguaina,4
Roça de toco,20 - 50 ha,Taguatinga,4
Pastagem nativa,20 - 50 ha,Taguatinga,4
Roça de toco,20 - 50 ha,Taguatinga,4
Aração,20 - 50 ha,Taguatinga,4
Gradagem,20 - 50 ha,Taguatinga,4
Plantio convencional,50 - 100 ha,Porto,4
Aração,50 - 100 ha,Porto,4
Gradagem,50 - 100 ha,Porto,4
Pastagem nativa,50 - 100 ha,Porto,4
Uso de agrotóxicos,50 - 100 ha,Porto,4
Aração,1 - 5 ha,Miracema,4
Gradagem,1 - 5 ha,Miracema,4
Não usa,1 - 5 ha,Taguatinga,4
Roça de toco,20 - 50 ha,Araguatins,4
Plantio convencional,20 - 50 ha,Gurupi,4
Uso de agrotóxicos,20 - 50 ha,Gurupi,4
Plantio convencional,20 - 50 ha,Paraiso,4
Uso de agrotóxicos,20 - 50 ha,Paraiso,4
Aração,10 - 20 ha,Miracema,4
Gradagem,10 - 20 ha,Miracema,4
Uso de agrotóxicos,10 - 20 ha,Miracema,4
Aração,50 - 100 ha,Miracema,4
Gradagem,50 - 100 ha,Miracema,4
Aração,1 - 5 ha,Miracema,4
Gradagem,1 - 5 ha,Miracema,4
Pastagem nativa,1 - 5 ha,Miracema,4
Plantio convencional,10 - 20 ha,Paraiso,4
Aração,20 - 50 ha,Araguatins,3
Gradagem,20 - 50 ha,Araguatins,3
Monocultura,20 - 50 ha,Araguatins,3
Uso de agrotóxicos,20 - 50 ha,Araguatins,3
Plantio convencional,50 - 100 ha,Araguaina,3
Aração,50 - 100 ha,Araguaina,3
Gradagem,50 - 100 ha,Araguaina,3
Pastagem nativa,50 - 100 ha,Araguaina,3
Roça de toco,20 - 50 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Araguaina,3
Aração,20 - 50 ha,Araguaina,3
Gradagem,20 - 50 ha,Araguaina,3
Queimadas,20 - 50 ha,Araguaina,3
Aração,1 - 5 ha,Araguaina,3
Gradagem,1 - 5 ha,Araguaina,3
Roça de toco,20 - 50 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Araguaina,3
Aração,20 - 50 ha,Araguaina,3
Gradagem,20 - 50 ha,Araguaina,3
Aração,20 - 50 ha,Porto,3
Gradagem,20 - 50 ha,Porto,3
Pastagem nativa,20 - 50 ha,Porto,3
Aração,50 - 100 ha,Gurupi,3
Gradagem,50 - 100 ha,Gurupi,3
Roça de toco,20 - 50 ha,Paraiso,3
Aração,20 - 50 ha,Paraiso,3
Gradagem,20 - 50 ha,Paraiso,3
Plantio convencional,50 - 100 ha,Paraiso,3
Pastagem nativa,50 - 100 ha,Paraiso,3
Não usa,Até 1 ha,Paraiso,3
Roça de toco,50 - 100 ha,Taguatinga,3
Plantio convencional,1 - 5 ha,Taguatinga,3
Aração,1 - 5 ha,Taguatinga,3
Gradagem,1 - 5 ha,Taguatinga,3
Plantio convencional,20 - 50 ha,Colinas,3
Aração,20 - 50 ha,Colinas,3
Gradagem,20 - 50 ha,Colinas,3
Uso de agrotóxicos,20 - 50 ha,Colinas,3
Aração,1 - 5 ha,Porto,3
Gradagem,1 - 5 ha,Porto,3
Plantio convencional,20 - 50 ha,Porto,3
Aração,20 - 50 ha,Porto,3
Gradagem,20 - 50 ha,Porto,3
Plantio convencional,10 - 20 ha,Porto,3
Aração,10 - 20 ha,Porto,3
Gradagem,10 - 20 ha,Porto,3
Plantio convencional,50 - 100 ha,Gurupi,3
Aração,50 - 100 ha,Gurupi,3
Gradagem,50 - 100 ha,Gurupi,3
Monocultura,50 - 100 ha,Gurupi,3
Uso de agrotóxicos,50 - 100 ha,Gurupi,3
Pastagem nativa,20 - 50 ha,Paraiso,3
Aração,10 - 20 ha,Porto,3
Gradagem,10 - 20 ha,Porto,3
Plantio convencional,50 - 100 ha,Gurupi,3
Aração,50 - 100 ha,Gurupi,3
Gradagem,50 - 100 ha,Gurupi,3
Plantio convencional,50 - 100 ha,Paraiso,3
Uso de agrotóxicos,50 - 100 ha,Paraiso,3
Plantio convencional,10 - 20 ha,Araguaina,3
Aração,10 - 20 ha,Araguaina,3
Gradagem,10 - 20 ha,Araguaina,3
Uso de agrotóxicos,10 - 20 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Paraiso,3
Aração,20 - 50 ha,Paraiso,3
Gradagem,20 - 50 ha,Paraiso,3
Pastagem nativa,20 - 50 ha,Paraiso,3
Plantio convencional,1 - 5 ha,Gurupi,3
Aração,1 - 5 ha,Araguaina,3
Gradagem,1 - 5 ha,Araguaina,3
Uso de agrotóxicos,1 - 5 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Taguatinga,3
Roça de toco,20 - 50 ha,Miracema,3
Plantio convencional,20 - 50 ha,Miracema,3
Plantio convencional,5 - 10 ha,Porto,3
Aração,5 - 10 ha,Porto,3
Gradagem,5 - 10 ha,Porto,3
Uso de agrotóxicos,5 - 10 ha,Porto,3
Plantio convencional,5 - 10 ha,Paraiso,3
Aração,5 - 10 ha,Paraiso,3
Gradagem,5 - 10 ha,Paraiso,3
Uso de agrotóxicos,5 - 10 ha,Paraiso,3
Roça de toco,10 - 20 ha,Araguaina,3
Plantio convencional,10 - 20 ha,Araguaina,3
Aração,10 - 20 ha,Araguaina,3
Gradagem,10 - 20 ha,Araguaina,3
Pastagem nativa,10 - 20 ha,Araguaina,3
Pastagem nativa,50 - 100 ha,Paraiso,3
Aração,50 - 100 ha,Colinas,3
Gradagem,50 - 100 ha,Colinas,3
Uso de agrotóxicos,50 - 100 ha,Colinas,3
Roça de toco,20 - 50 ha,Taguatinga,3
Roça de toco,20 - 50 ha,Miracema,3
Aração,20 - 50 ha,Miracema,3
Gradagem,20 - 50 ha,Miracema,3
Plantio convencional,20 - 50 ha,Araguaina,3
Aração,20 - 50 ha,Araguaina,3
Gradagem,20 - 50 ha,Araguaina,3
Monocultura,20 - 50 ha,Araguaina,3
Uso de agrotóxicos,20 - 50 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Araguatins,3
Roça de toco,20 - 50 ha,Porto,3
Plantio convencional,20 - 50 ha,Porto,3
Aração,50 - 100 ha,Paraiso,3
Gradagem,50 - 100 ha,Paraiso,3
Uso de agrotóxicos,50 - 100 ha,Paraiso,3
Plantio convencional,10 - 20 ha,Taguatinga,3
Aração,10 - 20 ha,Taguatinga,3
Gradagem,10 - 20 ha,Taguatinga,3
Uso de agrotóxicos,50 - 100 ha,Miracema,3
Plantio convencional,20 - 50 ha,Porto,3
Aração,20 - 50 ha,Porto,3
Gradagem,20 - 50 ha,Porto,3
Pastagem nativa,20 - 50 ha,Porto,3
Uso de agrotóxicos,20 - 50 ha,Porto,3
Roça de toco,1 - 5 ha,Paraiso,3
Plantio convencional,1 - 5 ha,Paraiso,3
Plantio convencional,20 - 50 ha,Miracema,3
Aração,20 - 50 ha,Miracema,3
Gradagem,20 - 50 ha,Miracema,3
Plantio convencional,1 - 5 ha,Paraiso,3
Aração,1 - 5 ha,Paraiso,3
Gradagem,1 - 5 ha,Paraiso,3
Uso de agrotóxicos,1 - 5 ha,Paraiso,3
Plantio convencional,50 - 100 ha,Colinas,3
Aração,50 - 100 ha,Colinas,3
Gradagem,50 - 100 ha,Colinas,3
Pastagem nativa,50 - 100 ha,Colinas,3
Plantio convencional,5 - 10 ha,Paraiso,3
Roça de toco,20 - 50 ha,Araguaina,3
Plantio convencional,20 - 50 ha,Araguaina,3
Aração,20 - 50 ha,Araguaina,3
Gradagem,20 - 50 ha,Araguaina,3
Queimadas,20 - 50 ha,Araguaina,3
Pastagem nativa,20 - 50 ha,Araguaina,3
Uso de agrotóxicos,20 - 50 ha,Araguaina,3
Aração,50 - 100 ha,Taguatinga,3
Gradagem,50 - 100 ha,Taguatinga,3
Plantio convencional,100 - 200 ha,Paraiso,3
Aração,100 - 200 ha,Paraiso,3
Gradagem,100 - 200 ha,Paraiso,3
Roça de toco,20 - 50 ha,Taguatinga,2
Aração,20 - 50 ha,Taguatinga,2
Gradagem,20 - 50 ha,Taguatinga,2
Pastagem nativa,20 - 50 ha,Taguatinga,2
Aração,20 - 50 ha,Araguaina,2
Gradagem,20 - 50 ha,Araguaina,2
Aração,100 - 200 ha,Colinas,2
Gradagem,100 - 200 ha,Colinas,2
Roça de toco,50 - 100 ha,Araguatins,2
Aração,50 - 100 ha,Araguatins,2
Gradagem,50 - 100 ha,Araguatins,2
Queimadas,50 - 100 ha,Araguatins,2
Uso de agrotóxicos,50 - 100 ha,Araguatins,2
Roça de toco,20 - 50 ha,Araguaina,2
Plantio convencional,20 - 50 ha,Araguaina,2
Queimadas,20 - 50 ha,Araguaina,2
Uso de agrotóxicos,20 - 50 ha,Araguaina,2
Plantio convencional,1 - 5 ha,Colinas,2
Uso de agrotóxicos,50 - 100 ha,Paraiso,2
Roça de toco,20 - 50 ha,Taguatinga,2
Queimadas,20 - 50 ha,Taguatinga,2
Aração,10 - 20 ha,Gurupi,2
Gradagem,10 - 20 ha,Gurupi,2
Queimadas,20 - 50 ha,Araguatins,2
Plantio convencional,100 - 200 ha,Paraiso,2
Uso de agrotóxicos,100 - 200 ha,Paraiso,2
Aração,20 - 50 ha,Gurupi,2
Gradagem,20 - 50 ha,Gurupi,2
Uso de agrotóxicos,20 - 50 ha,Gurupi,2
Plantio convencional,1 - 5 ha,Porto,2
Roça de toco,200 - 320 ha,Paraiso,2
Plantio convencional,1 - 5 ha,Araguatins,2
Uso de agrotóxicos,1 - 5 ha,Araguatins,2
Roça de toco,20 - 50 ha,Araguaina,2
Aração,20 - 50 ha,Araguaina,2
Gradagem,20 - 50 ha,Araguaina,2
Queimadas,20 - 50 ha,Araguaina,2
Plantio convencional,50 - 100 ha,Araguaina,2
Aração,50 - 100 ha,Araguaina,2
Gradagem,50 - 100 ha,Araguaina,2
Pastagem nativa,50 - 100 ha,Araguaina,2
Monocultura,50 - 100 ha,Araguaina,2
Uso de agrotóxicos,50 - 100 ha,Araguaina,2
Roça de toco,10 - 20 ha,Araguatins,2
Queimadas,10 - 20 ha,Araguatins,2
Não usa,10 - 20 ha,Araguatins,2
Aração,10 - 20 ha,Miracema,2
Gradagem,10 - 20 ha,Miracema,2
Queimadas,10 - 20 ha,Miracema,2
Plantio convencional,Até 1 ha,Araguatins,2
Roça de toco,10 - 20 ha,Miracema,2
Queimadas,10 - 20 ha,Miracema,2
Plantio convencional,100 - 200 ha,Taguatinga,2
Aração,100 - 200 ha,Taguatinga,2
Gradagem,100 - 200 ha,Taguatinga,2
Queimadas,100 - 200 ha,Taguatinga,2
Pastagem nativa,100 - 200 ha,Taguatinga,2
Aração,20 - 50 ha,Colinas,2
Gradagem,20 - 50 ha,Colinas,2
Monocultura,20 - 50 ha,Colinas,2
Uso de agrotóxicos,20 - 50 ha,Colinas,2
Roça de toco,20 - 50 ha,Taguatinga,2
Plantio convencional,20 - 50 ha,Taguatinga,2
Aração,20 - 50 ha,Taguatinga,2
Gradagem,20 - 50 ha,Taguatinga,2
Não usa,1 - 5 ha,Miracema,2
Queimadas,20 - 50 ha,Gurupi,2
Plantio convencional,50 - 100 ha,Araguaina,2
Uso de agrotóxicos,50 - 100 ha,Araguaina,2
Plantio convencional,100 - 200 ha,Gurupi,2
Aração,100 - 200 ha,Gurupi,2
Gradagem,100 - 200 ha,Gurupi,2
Monocultura,100 - 200 ha,Gurupi,2
Uso de agrotóxicos,100 - 200 ha,Gurupi,2
Plantio convencional,20 - 50 ha,Araguaina,2
Aração,20 - 50 ha,Araguaina,2
Gradagem,20 - 50 ha,Araguaina,2
Queimadas,20 - 50 ha,Araguaina,2
Uso de agrotóxicos,20 - 50 ha,Araguaina,2
Roça de toco,20 - 50 ha,Araguaina,2
Aração,20 - 50 ha,Araguaina,2
Gradagem,20 - 50 ha,Araguaina,2
Uso de agrotóxicos,20 - 50 ha,Araguaina,2
Roça de toco,1 - 5 ha,Araguatins,2
Queimadas,1 - 5 ha,Araguatins,2
Plantio convencional,20 - 50 ha,Araguaina,2
Aração,20 - 50 ha,Araguaina,2
Gradagem,20 - 50 ha,Araguaina,2
Pastagem nativa,20 - 50 ha,Araguaina,2
Monocultura,20 - 50 ha,Araguaina,2
Uso de agrotóxicos,20 - 50 ha,Araguaina,2
Aração,1 - 5 ha,Taguatinga,2
Gradagem,1 - 5 ha,Taguatinga,2
Plantio convencional,100 - 200 ha,Paraiso,2
Aração,100 - 200 ha,Paraiso,2
Gradagem,100 - 200 ha,Paraiso,2
Pastagem nativa,100 - 200 ha,Paraiso,2
Uso de agrotóxicos,100 - 200 ha,Paraiso,2
Aração,10 - 20 ha,Colinas,2
Gradagem,10 - 20 ha,Colinas,2
Monocultura,10 - 20 ha,Colinas,2
Uso de agrotóxicos,10 - 20 ha,Colinas,2
Aração,50 - 100 ha,Miracema,2
Gradagem,50 - 100 ha,Miracema,2
Pastagem nativa,50 - 100 ha,Miracema,2
Roça de toco,10 - 20 ha,Miracema,2
Roça de toco,20 - 50 ha,Gurupi,2
Aração,5 - 10 ha,Gurupi,2
Gradagem,5 - 10 ha,Gurupi,2
Aração,200 - 320 ha,Araguaina,2
Gradagem,200 - 320 ha,Araguaina,2
Uso de agrotóxicos,200 - 320 ha,Araguaina,2
Plantio convencional,1 - 5 ha,Porto,2
Aração,1 - 5 ha,Porto,2
Gradagem,1 - 5 ha,Porto,2
Roça de toco,5 - 10 ha,Miracema,2
Plantio convencional,5 - 10 ha,Miracema,2
Roça de toco,50 - 100 ha,Paraiso,2
Plantio convencional,50 - 100 ha,Paraiso,2
Aração,20 - 50 ha,Miracema,2
Gradagem,20 - 50 ha,Miracema,2
Monocultura,20 - 50 ha,Miracema,2
Uso de agrotóxicos,20 - 50 ha,Miracema,2
Roça de toco,100 - 200 ha,Taguatinga,2
Pastagem nativa,100 - 200 ha,Taguatinga,2
Aração,10 - 20 ha,Taguatinga,2
Gradagem,10 - 20 ha,Taguatinga,2
Plantio convencional,50 - 100 ha,Gurupi,2
Aração,50 - 100 ha,Gurupi,2
Gradagem,50 - 100 ha,Gurupi,2
Monocultura,50 - 100 ha,Gurupi,2
Não usa,Até 1 ha,Araguatins,2
Roça de toco,10 - 20 ha,Taguatinga,2
Plantio convencional,5 - 10 ha,Taguatinga,2
Aração,5 - 10 ha,Taguatinga,2
Gradagem,5 - 10 ha,Taguatinga,2
Uso de agrotóxicos,5 - 10 ha,Taguatinga,2
Plantio convencional,Até 1 ha,Araguatins,2
Uso de agrotóxicos,Até 1 ha,Araguatins,2
Aração,50 - 100 ha,Araguaina,2
Gradagem,50 - 100 ha,Araguaina,2
Aração,20 - 50 ha,Porto,2
Gradagem,20 - 50 ha,Porto,2
Uso de agrotóxicos,20 - 50 ha,Porto,2
Aração,5 - 10 ha,Araguatins,2
Gradagem,5 - 10 ha,Araguatins,2
Uso de agrotóxicos,5 - 10 ha,Araguatins,2
Plantio convencional,5 - 10 ha,Miracema,2
Roça de toco,1 - 5 ha,Araguaina,2
Queimadas,1 - 5 ha,Araguaina,2
Pastagem nativa,1 - 5 ha,Araguaina,2
Roça de toco,10 - 20 ha,Araguaina,2
Aração,10 - 20 ha,Araguaina,2
Gradagem,10 - 20 ha,Araguaina,2
Pastagem nativa,10 - 20 ha,Araguaina,2
Roça de toco,20 - 50 ha,Taguatinga,2
Plantio convencional,20 - 50 ha,Taguatinga,2
Queimadas,20 - 50 ha,Taguatinga,2
Uso de agrotóxicos,Até 1 ha,Araguatins,2
Aração,20 - 50 ha,Araguaina,2
Gradagem,20 - 50 ha,Araguaina,2
Monocultura,20 - 50 ha,Araguaina,2
Uso de agrotóxicos,20 - 50 ha,Araguaina,2
Plantio convencional,20 - 50 ha,Paraiso,2
Pastagem nativa,20 - 50 ha,Paraiso,2
Roça de toco,50 - 100 ha,Taguatinga,2
Aração,50 - 100 ha,Taguatinga,2
Gradagem,50 - 100 ha,Taguatinga,2
Roça de toco,20 - 50 ha,Taguatinga,2
