uso_de_praticas_sustentaveis_,area_da_propriedade__hectares__,regional_,count
Aceiros,20 - 50 ha,Araguaina,26
Aceiros,20 - 50 ha,Gurupi,24
Aceiros,20 - 50 ha,Paraiso,21
Não usa,20 - 50 ha,Paraiso,17
Aceiros,20 - 50 ha,Araguaina,15
Calagem,20 - 50 ha,Araguaina,15
Adubação,20 - 50 ha,Araguaina,15
Aceiros,20 - 50 ha,Paraiso,14
Calagem,20 - 50 ha,Paraiso,14
Adubação,20 - 50 ha,Paraiso,14
Aceiros,10 - 20 ha,Araguaina,14
Aceiros,20 - 50 ha,Paraiso,13
Adubação,20 - 50 ha,Paraiso,13
Aceiros,20 - 50 ha,Araguaina,12
Recuperação de pastagens,20 - 50 ha,Araguaina,12
Aceiros,50 - 100 ha,Paraiso,12
Aceiros,20 - 50 ha,Porto,12
Não usa,50 - 100 ha,Paraiso,12
Aceiros,20 - 50 ha,Gurupi,12
Adubação,20 - 50 ha,Gurupi,12
Aceiros,20 - 50 ha,Miracema,11
Calagem,20 - 50 ha,Miracema,11
Adubação,20 - 50 ha,Miracema,11
Não usa,20 - 50 ha,Gurupi,10
Aceiros,20 - 50 ha,Miracema,10
Adubação,20 - 50 ha,Miracema,10
Aceiros,20 - 50 ha,Miracema,9
Aceiros,10 - 20 ha,Paraiso,8
Aceiros,20 - 50 ha,Porto,8
Calagem,20 - 50 ha,Porto,8
Adubação,20 - 50 ha,Porto,8
Rotação de cultura,20 - 50 ha,Araguaina,8
Aceiros,20 - 50 ha,Araguaina,8
Aceiros,20 - 50 ha,Araguatins,8
Descarte correto de embalagens,20 - 50 ha,Araguatins,8
Aceiros,5 - 10 ha,Miracema,7
Aceiros,50 - 100 ha,Paraiso,7
Adubação,50 - 100 ha,Paraiso,7
Aceiros,20 - 50 ha,Gurupi,7
Calagem,20 - 50 ha,Gurupi,7
Aceiros,10 - 20 ha,Miracema,6
Aceiros,100 - 200 ha,Paraiso,6
Aceiros,20 - 50 ha,Araguatins,6
Recuperação de pastagens,20 - 50 ha,Araguatins,6
Aceiros,20 - 50 ha,Taguatinga,6
Não usa,Até 1 ha,Porto,6
Aceiros,20 - 50 ha,Araguatins,6
Descarte correto de embalagens,20 - 50 ha,Araguatins,6
Adubação,20 - 50 ha,Araguatins,6
Aceiros,20 - 50 ha,Gurupi,5
Calagem,20 - 50 ha,Gurupi,5
Adubação,20 - 50 ha,Gurupi,5
Aceiros,50 - 100 ha,Taguatinga,5
Aceiros,10 - 20 ha,Araguatins,5
Aceiros,50 - 100 ha,Colinas,5
Calagem,50 - 100 ha,Colinas,5
Adubação,50 - 100 ha,Colinas,5
Aceiros,50 - 100 ha,Araguaina,5
Calagem,50 - 100 ha,Araguaina,5
Adubação,50 - 100 ha,Araguaina,5
Aceiros,50 - 100 ha,Araguaina,5
Aceiros,20 - 50 ha,Araguatins,5
Aceiros,20 - 50 ha,Araguatins,5
Adubação,20 - 50 ha,Araguatins,5
Aceiros,50 - 100 ha,Gurupi,5
Calagem,50 - 100 ha,Gurupi,5
Rotação de cultura,20 - 50 ha,Taguatinga,4
Aceiros,20 - 50 ha,Araguatins,4
Consórcio,20 - 50 ha,Araguatins,4
Adubação verde,1 - 5 ha,Paraiso,4
Aceiros,20 - 50 ha,Paraiso,4
Calagem,20 - 50 ha,Paraiso,4
Aceiros,50 - 100 ha,Miracema,4
Calagem,50 - 100 ha,Miracema,4
Adubação,50 - 100 ha,Miracema,4
Aceiros,5 - 10 ha,Miracema,4
Calagem,5 - 10 ha,Miracema,4
Adubação,5 - 10 ha,Miracema,4
Aceiros,20 - 50 ha,Paraiso,4
Calagem,20 - 50 ha,Paraiso,4
Recuperação de pastagens,20 - 50 ha,Paraiso,4
Adubação,20 - 50 ha,Paraiso,4
Aceiros,100 - 200 ha,Paraiso,4
Calagem,100 - 200 ha,Paraiso,4
Adubação,100 - 200 ha,Paraiso,4
Rotação de cultura,20 - 50 ha,Paraiso,4
Aceiros,20 - 50 ha,Paraiso,4
Adubação,20 - 50 ha,Paraiso,4
Adubação,20 - 50 ha,Paraiso,4
Plantio direto,20 - 50 ha,Miracema,4
Aceiros,50 - 100 ha,Miracema,4
Rotação de cultura,20 - 50 ha,Araguaina,3
Aceiros,20 - 50 ha,Araguaina,3
Adubação,20 - 50 ha,Araguaina,3
Rotação de cultura,100 - 200 ha,Taguatinga,3
Aceiros,20 - 50 ha,Colinas,3
Calagem,20 - 50 ha,Colinas,3
Adubação,20 - 50 ha,Colinas,3
Rotação de cultura,20 - 50 ha,Paraiso,3
Adubação,20 - 50 ha,Paraiso,3
Aceiros,10 - 20 ha,Porto,3
Aceiros,10 - 20 ha,Taguatinga,3
Adubação,10 - 20 ha,Taguatinga,3
Aceiros,10 - 20 ha,Araguatins,3
Adubação,10 - 20 ha,Araguatins,3
Não usa,10 - 20 ha,Gurupi,3
Rotação de cultura,20 - 50 ha,Araguatins,3
Descarte correto de embalagens,20 - 50 ha,Araguatins,3
Adubação,20 - 50 ha,Araguatins,3
Aceiros,10 - 20 ha,Miracema,3
Adubação,10 - 20 ha,Miracema,3
Rotação de cultura,20 - 50 ha,Araguatins,3
Aceiros,20 - 50 ha,Araguatins,3
Descarte correto de embalagens,20 - 50 ha,Araguatins,3
Adubação,20 - 50 ha,Araguatins,3
Adubação verde,100 - 200 ha,Paraiso,3
Plantio direto,100 - 200 ha,Paraiso,3
Rotação de cultura,20 - 50 ha,Gurupi,3
Aceiros,20 - 50 ha,Gurupi,3
Calagem,20 - 50 ha,Gurupi,3
Adubação,20 - 50 ha,Gurupi,3
Rotação de cultura,5 - 10 ha,Araguaina,3
Aceiros,5 - 10 ha,Araguaina,3
Rotação de cultura,20 - 50 ha,Araguaina,3
Aceiros,20 - 50 ha,Araguaina,3
Recuperação de pastagens,20 - 50 ha,Araguaina,3
Não usa,Até 1 ha,Paraiso,3
Aceiros,10 - 20 ha,Gurupi,3
Consórcio,10 - 20 ha,Miracema,3
Aceiros,10 - 20 ha,Araguaina,3
Plantio direto,10 - 20 ha,Araguaina,3
Adubação,10 - 20 ha,Araguaina,3
Aceiros,10 - 20 ha,Araguatins,3
Recuperação de pastagens,10 - 20 ha,Araguatins,3
Adubação verde,Até 1 ha,Paraiso,3
Plantio direto,Até 1 ha,Paraiso,3
Aceiros,5 - 10 ha,Araguaina,3
Calagem,5 - 10 ha,Araguaina,3
Adubação,5 - 10 ha,Araguaina,3
Rotação de cultura,50 - 100 ha,Araguaina,3
Aceiros,50 - 100 ha,Araguaina,3
Aceiros,10 - 20 ha,Gurupi,3
Calagem,10 - 20 ha,Gurupi,3
Adubação,20 - 50 ha,Taguatinga,3
Aceiros,20 - 50 ha,Araguaina,3
Descarte correto de embalagens,20 - 50 ha,Araguaina,3
Recuperação de pastagens,20 - 50 ha,Araguaina,3
Aceiros,10 - 20 ha,Paraiso,3
Adubação,10 - 20 ha,Paraiso,3
Rotação de cultura,100 - 200 ha,Taguatinga,3
Aceiros,100 - 200 ha,Taguatinga,3
Consórcio,100 - 200 ha,Taguatinga,3
Recuperação de pastagens,100 - 200 ha,Taguatinga,3
Plantio direto,100 - 200 ha,Taguatinga,3
Adubação,20 - 50 ha,Gurupi,3
Aceiros,20 - 50 ha,Araguaina,3
Adubação,20 - 50 ha,Araguaina,3
Aceiros,50 - 100 ha,Taguatinga,3
Calagem,50 - 100 ha,Taguatinga,3
Rotação de cultura,1 - 5 ha,Araguaina,3
Aceiros,1 - 5 ha,Araguaina,3
Calagem,1 - 5 ha,Araguaina,3
Adubação,1 - 5 ha,Araguaina,3
Aceiros,1 - 5 ha,Taguatinga,3
Não usa,1 - 5 ha,Paraiso,3
Rotação de cultura,Até 1 ha,Araguatins,3
Adubação,Até 1 ha,Araguatins,3
Calagem,20 - 50 ha,Taguatinga,3
Adubação verde,1 - 5 ha,Miracema,3
Aceiros,1 - 5 ha,Miracema,3
Aceiros,20 - 50 ha,Miracema,3
Calagem,20 - 50 ha,Miracema,3
Rotação de cultura,50 - 100 ha,Taguatinga,2
Aceiros,50 - 100 ha,Taguatinga,2
Consórcio,50 - 100 ha,Taguatinga,2
Recuperação de pastagens,50 - 100 ha,Taguatinga,2
Plantio direto,50 - 100 ha,Taguatinga,2
Rotação de cultura,10 - 20 ha,Miracema,2
Aceiros,10 - 20 ha,Miracema,2
Curva de nível,50 - 100 ha,Gurupi,2
Aceiros,50 - 100 ha,Gurupi,2
Calagem,50 - 100 ha,Gurupi,2
Adubação,50 - 100 ha,Gurupi,2
Adubação,200 - 320 ha,Paraiso,2
Adubação verde,50 - 100 ha,Colinas,2
Reaproveitamento de residuos,50 - 100 ha,Colinas,2
Rotação de cultura,50 - 100 ha,Colinas,2
Aceiros,50 - 100 ha,Colinas,2
Calagem,50 - 100 ha,Colinas,2
Recuperação de pastagens,50 - 100 ha,Colinas,2
Plantio direto,50 - 100 ha,Colinas,2
Adubação,50 - 100 ha,Colinas,2
Adubação verde,5 - 10 ha,Taguatinga,2
Rotação de cultura,5 - 10 ha,Taguatinga,2
Calagem,5 - 10 ha,Taguatinga,2
Adubação,5 - 10 ha,Taguatinga,2
Adubação verde,10 - 20 ha,Taguatinga,2
Aceiros,10 - 20 ha,Taguatinga,2
Calagem,50 - 100 ha,Taguatinga,2
Aceiros,20 - 50 ha,Porto,2
Calagem,20 - 50 ha,Porto,2
Recuperação de pastagens,20 - 50 ha,Porto,2
Adubação,20 - 50 ha,Porto,2
Adubação,1 - 5 ha,Gurupi,2
Adubação verde,10 - 20 ha,Colinas,2
Aceiros,10 - 20 ha,Colinas,2
Calagem,10 - 20 ha,Colinas,2
Consórcio,10 - 20 ha,Colinas,2
Adubação,10 - 20 ha,Colinas,2
Reaproveitamento de residuos,10 - 20 ha,Colinas,2
Rotação de cultura,10 - 20 ha,Colinas,2
Aceiros,10 - 20 ha,Colinas,2
Calagem,10 - 20 ha,Colinas,2
Consórcio,10 - 20 ha,Colinas,2
Adubação,10 - 20 ha,Colinas,2
Rotação de cultura,20 - 50 ha,Miracema,2
Adubação,20 - 50 ha,Miracema,2
Aceiros,20 - 50 ha,Araguaina,2
Calagem,20 - 50 ha,Araguaina,2
Recuperação de pastagens,20 - 50 ha,Araguaina,2
Adubação verde,20 - 50 ha,Araguaina,2
Rotação de cultura,20 - 50 ha,Araguaina,2
Plantio direto,20 - 50 ha,Araguaina,2
Adubação,20 - 50 ha,Araguaina,2
Curva de nível,20 - 50 ha,Gurupi,2
Aceiros,20 - 50 ha,Gurupi,2
Rotação de cultura,20 - 50 ha,Araguatins,2
Aceiros,20 - 50 ha,Araguatins,2
Calagem,20 - 50 ha,Araguatins,2
Consórcio,20 - 50 ha,Araguatins,2
Descarte correto de embalagens,20 - 50 ha,Araguatins,2
Adubação,20 - 50 ha,Araguatins,2
Aceiros,1 - 5 ha,Araguatins,2
Adubação,1 - 5 ha,Araguatins,2
Aceiros,50 - 100 ha,Gurupi,2
Rotação de cultura,10 - 20 ha,Araguatins,2
Aceiros,10 - 20 ha,Araguatins,2
Calagem,10 - 20 ha,Araguatins,2
Consórcio,10 - 20 ha,Araguatins,2
Adubação,10 - 20 ha,Araguatins,2
Aceiros,5 - 10 ha,Araguatins,2
Consórcio,5 - 10 ha,Araguatins,2
Aceiros,50 - 100 ha,Miracema,2
Plantio direto,50 - 100 ha,Miracema,2
Adubação,50 - 100 ha,Miracema,2
Adubação verde,50 - 100 ha,Paraiso,2
Plantio direto,50 - 100 ha,Paraiso,2
Adubação verde,20 - 50 ha,Araguaina,2
Rotação de cultura,20 - 50 ha,Araguaina,2
Aceiros,20 - 50 ha,Araguaina,2
Não usa,10 - 20 ha,Paraiso,2
Rotação de cultura,10 - 20 ha,Araguatins,2
Aceiros,10 - 20 ha,Araguatins,2
Descarte correto de embalagens,10 - 20 ha,Araguatins,2
Aceiros,10 - 20 ha,Araguaina,2
Adubação,10 - 20 ha,Araguaina,2
Aceiros,1 - 5 ha,Miracema,2
Calagem,1 - 5 ha,Miracema,2
Adubação,1 - 5 ha,Miracema,2
Aceiros,50 - 100 ha,Porto,2
Calagem,50 - 100 ha,Porto,2
Recuperação de pastagens,50 - 100 ha,Porto,2
Aceiros,20 - 50 ha,Taguatinga,2
Calagem,20 - 50 ha,Taguatinga,2
Adubação,20 - 50 ha,Taguatinga,2
Adubação verde,1 - 5 ha,Araguaina,2
Reaproveitamento de residuos,1 - 5 ha,Araguaina,2
Rotação de cultura,1 - 5 ha,Araguaina,2
Aceiros,1 - 5 ha,Araguaina,2
Consórcio,1 - 5 ha,Araguaina,2
Plantio direto,1 - 5 ha,Araguaina,2
Não usa,5 - 10 ha,Gurupi,2
Adubação verde,20 - 50 ha,Paraiso,2
Reaproveitamento de residuos,20 - 50 ha,Paraiso,2
Rotação de cultura,20 - 50 ha,Paraiso,2
Aceiros,20 - 50 ha,Paraiso,2
Calagem,20 - 50 ha,Paraiso,2
Adubação,20 - 50 ha,Paraiso,2
Recuperação de pastagens,20 - 50 ha,Paraiso,2
Não usa,20 - 50 ha,Colinas,2
Adubação verde,1 - 5 ha,Colinas,2
Adubação,1 - 5 ha,Colinas,2
Calagem,20 - 50 ha,Porto,2
Adubação,20 - 50 ha,Porto,2
Reaproveitamento de residuos,10 - 20 ha,Paraiso,2
Plantio direto,10 - 20 ha,Paraiso,2
Adubação,10 - 20 ha,Paraiso,2
Rotação de cultura,20 - 50 ha,Araguatins,2
Aceiros,20 - 50 ha,Araguatins,2
Aceiros,100 - 200 ha,Colinas,2
Calagem,100 - 200 ha,Colinas,2
Adubação,100 - 200 ha,Colinas,2
Aceiros,5 - 10 ha,Araguaina,2
Consórcio,5 - 10 ha,Araguaina,2
Reaproveitamento de residuos,20 - 50 ha,Miracema,2
Rotação de cultura,20 - 50 ha,Miracema,2
Aceiros,20 - 50 ha,Miracema,2
Adubação verde,5 - 10 ha,Paraiso,2
Plantio direto,5 - 10 ha,Paraiso,2
Plantio direto,10 - 20 ha,Araguaina,2
Adubação,10 - 20 ha,Araguaina,2
Calagem,1 - 5 ha,Araguaina,2
Consórcio,1 - 5 ha,Araguaina,2
Adubação,1 - 5 ha,Araguaina,2
Aceiros,10 - 20 ha,Colinas,2
Calagem,10 - 20 ha,Colinas,2
Adubação,10 - 20 ha,Colinas,2
Aceiros,Até 1 ha,Araguaina,2
Aceiros,1 - 5 ha,Araguaina,2
Aceiros,100 - 200 ha,Miracema,2
Calagem,100 - 200 ha,Miracema,2
Adubação,100 - 200 ha,Miracema,2
Adubação,50 - 100 ha,Paraiso,2
Aceiros,50 - 100 ha,Porto,2
Rotação de cultura,20 - 50 ha,Araguatins,2
Aceiros,20 - 50 ha,Araguatins,2
Consórcio,20 - 50 ha,Araguatins,2
Adubação,1 - 5 ha,Taguatinga,2
Aceiros,20 - 50 ha,Araguaina,2
Recuperação de pastagens,20 - 50 ha,Araguaina,2
Adubação,20 - 50 ha,Araguaina,2
Aceiros,1 - 5 ha,Araguaina,2
Consórcio,1 - 5 ha,Araguaina,2
Adubação,1 - 5 ha,Araguaina,2
Aceiros,5 - 10 ha,Miracema,2
Adubação,5 - 10 ha,Miracema,2
Aceiros,20 - 50 ha,Araguaina,2
Não usa,20 - 50 ha,Araguaina,2
Aceiros,20 - 50 ha,Araguatins,2
Descarte correto de embalagens,20 - 50 ha,Araguatins,2
Recuperação de pastagens,20 - 50 ha,Araguatins,2
Adubação,20 - 50 ha,Araguatins,2
Plantio direto,20 - 50 ha,Taguatinga,2
Adubação,20 - 50 ha,Taguatinga,2
Aceiros,50 - 100 ha,Miracema,2
Adubação,50 - 100 ha,Miracema,2
Adubação verde,20 - 50 ha,Paraiso,2
Reaproveitamento de residuos,20 - 50 ha,Paraiso,2
Rotação de cultura,20 - 50 ha,Paraiso,2
Calagem,20 - 50 ha,Paraiso,2
Adubação,20 - 50 ha,Paraiso,2
Aceiros,200 - 320 ha,Paraiso,2
Adubação,200 - 320 ha,Paraiso,2
Adubação verde,20 - 50 ha,Paraiso,2
Plantio direto,20 - 50 ha,Paraiso,2
Aceiros,50 - 100 ha,Paraiso,2
Calagem,50 - 100 ha,Paraiso,2
Adubação,10 - 20 ha,Paraiso,2
Reaproveitamento de residuos,50 - 100 ha,Paraiso,2
Aceiros,50 - 100 ha,Paraiso,2
Calagem,50 - 100 ha,Paraiso,2
Adubação,50 - 100 ha,Paraiso,2
Não usa,20 - 50 ha,Taguatinga,2
Rotação de cultura,20 - 50 ha,Gurupi,2
Aceiros,20 - 50 ha,Gurupi,2
Recuperação de pastagens,20 - 50 ha,Gurupi,2
Adubação,20 - 50 ha,Gurupi,2
Aceiros,10 - 20 ha,Araguaina,2
Plantio direto,10 - 20 ha,Araguaina,2
Calagem,20 - 50 ha,Paraiso,2
Aceiros,20 - 50 ha,Paraiso,2
Plantio direto,20 - 50 ha,Paraiso,2
Rotação de cultura,20 - 50 ha,Paraiso,2
Calagem,10 - 20 ha,Araguatins,2
Aceiros,Até 1 ha,Taguatinga,2
Aceiros,50 - 100 ha,Paraiso,2
Calagem,50 - 100 ha,Paraiso,2
Adubação,50 - 100 ha,Paraiso,2
Rotação de cultura,20 - 50 ha,Araguaina,2
Plantio direto,20 - 50 ha,Araguaina,2
Adubação,20 - 50 ha,Araguaina,2
Aceiros,50 - 100 ha,Miracema,2
Calagem,50 - 100 ha,Miracema,2
Reaproveitamento de residuos,20 - 50 ha,Paraiso,2
Aceiros,20 - 50 ha,Paraiso,2
Rotação de cultura,20 - 50 ha,Gurupi,2
Adubação,20 - 50 ha,Gurupi,2
Aceiros,100 - 200 ha,Miracema,2
Aceiros,10 - 20 ha,Taguatinga,2
Reaproveitamento de residuos,10 - 20 ha,Colinas,2
Aceiros,10 - 20 ha,Colinas,2
Calagem,10 - 20 ha,Colinas,2
Adubação,10 - 20 ha,Colinas,2
Aceiros,10 - 20 ha,Paraiso,2
Calagem,10 - 20 ha,Paraiso,2
Adubação,10 - 20 ha,Paraiso,2
Aceiros,20 - 50 ha,Araguatins,2
Consórcio,20 - 50 ha,Araguatins,2
Adubação,20 - 50 ha,Araguatins,2
Calagem,100 - 200 ha,Gurupi,2
Recuperação de pastagens,100 - 200 ha,Gurupi,2
Adubação,100 - 200 ha,Gurupi,2
Aceiros,20 - 50 ha,Colinas,2
Aceiros,50 - 100 ha,Araguaina,2
Adubação,50 - 100 ha,Araguaina,2
Consórcio,1 - 5 ha,Araguatins,2
Rotação de cultura,10 - 20 ha,Araguatins,2
Calagem,10 - 20 ha,Araguatins,2
Adubação,10 - 20 ha,Araguatins,2
Aceiros,10 - 20 ha,Porto,2
Calagem,10 - 20 ha,Porto,2
Adubação,10 - 20 ha,Porto,2
Reaproveitamento de residuos,20 - 50 ha,Araguatins,2
Consórcio,20 - 50 ha,Araguatins,2
Adubação,10 - 20 ha,Araguaina,2
Reaproveitamento de residuos,20 - 50 ha,Miracema,2
Aceiros,20 - 50 ha,Miracema,2
Calagem,20 - 50 ha,Miracema,2
Adubação,20 - 50 ha,Miracema,2
Reaproveitamento de residuos,20 - 50 ha,Paraiso,2
Aceiros,20 - 50 ha,Paraiso,2
Adubação,20 - 50 ha,Paraiso,2
Recuperação de pastagens,20 - 50 ha,Gurupi,2
Aceiros,10 - 20 ha,Araguatins,2
Consórcio,10 - 20 ha,Araguatins,2
Reaproveitamento de residuos,1 - 5 ha,Paraiso,2
Aceiros,50 - 100 ha,Gurupi,2
Calagem,50 - 100 ha,Gurupi,2
Adubação,50 - 100 ha,Gurupi,2
Aceiros,100 - 200 ha,Paraiso,2
Descarte correto de embalagens,100 - 200 ha,Paraiso,2
Recuperação de pastagens,100 - 200 ha,Paraiso,2
Rotação de cultura,50 - 100 ha,Miracema,2
Aceiros,50 - 100 ha,Miracema,2
Adubação,50 - 100 ha,Miracema,2
Calagem,5 - 10 ha,Colinas,2
Adubação,5 - 10 ha,Colinas,2
Adubação verde,50 - 100 ha,Taguatinga,2
Rotação de cultura,50 - 100 ha,Taguatinga,2
Aceiros,50 - 100 ha,Paraiso,2
Recuperação de pastagens,50 - 100 ha,Paraiso,2
Curva de nível,20 - 50 ha,Araguatins,2
Aceiros,20 - 50 ha,Araguatins,2
Calagem,20 - 50 ha,Araguatins,2
Consórcio,20 - 50 ha,Araguatins,2
Ilp - integração lavoura pecuária,20 - 50 ha,Araguatins,2
Descarte correto de embalagens,20 - 50 ha,Araguatins,2
Recuperação de pastagens,20 - 50 ha,Araguatins,2
Adubação,20 - 50 ha,Araguatins,2
Rotação de cultura,10 - 20 ha,Taguatinga,2
Aceiros,10 - 20 ha,Taguatinga,2
Consórcio,10 - 20 ha,Taguatinga,2
Plantio direto,10 - 20 ha,Taguatinga,2
Aceiros,20 - 50 ha,Porto,2
Calagem,20 - 50 ha,Porto,2
Recuperação de pastagens,20 - 50 ha,Porto,2
Aceiros,5 - 10 ha,Araguatins,2
Adubação,5 - 10 ha,Araguatins,2
Plantio direto,20 - 50 ha,Araguaina,2
Adubação,20 - 50 ha,Araguaina,2
Adubação verde,20 - 50 ha,Paraiso,2
Rotação de cultura,20 - 50 ha,Paraiso,2
Aceiros,20 - 50 ha,Paraiso,2
Calagem,20 - 50 ha,Paraiso,2
Adubação,20 - 50 ha,Paraiso,2
Adubação verde,20 - 50 ha,Paraiso,2
Reaproveitamento de residuos,20 - 50 ha,Paraiso,2
Curva de nível,20 - 50 ha,Colinas,2
Adubação verde,20 - 50 ha,Colinas,2
Rotação de cultura,20 - 50 ha,Colinas,2
Aceiros,20 - 50 ha,Colinas,2
Calagem,20 - 50 ha,Colinas,2
Adubação,20 - 50 ha,Colinas,2
Aceiros,1 - 5 ha,Araguatins,2
Reaproveitamento de residuos,100 - 200 ha,Gurupi,1
Rotação de cultura,100 - 200 ha,Gurupi,1
Calagem,100 - 200 ha,Gurupi,1
Consórcio,100 - 200 ha,Gurupi,1
Plantio direto,10 - 20 ha,Paraiso,1
Reaproveitamento de residuos,200 - 320 ha,Taguatinga,1
Aceiros,200 - 320 ha,Taguatinga,1
Adubação verde,10 - 20 ha,Araguaina,1
Rotação de cultura,10 - 20 ha,Araguaina,1
Aceiros,10 - 20 ha,Araguaina,1
Calagem,10 - 20 ha,Araguaina,1
Adubação,10 - 20 ha,Araguaina,1
Rotação de cultura,20 - 50 ha,Araguatins,1
Plantio direto,20 - 50 ha,Araguatins,1
Reaproveitamento de residuos,10 - 20 ha,Paraiso,1
Adubação,10 - 20 ha,Paraiso,1
Rotação de cultura,20 - 50 ha,Taguatinga,1
Aceiros,20 - 50 ha,Taguatinga,1
Consórcio,20 - 50 ha,Taguatinga,1
Plantio direto,20 - 50 ha,Taguatinga,1
Consórcio,20 - 50 ha,Araguatins,1
Descarte correto de embalagens,20 - 50 ha,Araguatins,1
Recuperação de pastagens,20 - 50 ha,Araguatins,1
Plantio direto,20 - 50 ha,Araguatins,1
Adubação,20 - 50 ha,Araguatins,1
Aceiros,20 - 50 ha,Paraiso,1
Descarte correto de embalagens,20 - 50 ha,Paraiso,1
