codigo_ibge,municipio_ibge,n_obs,prop_pratica_aração,prop_pratica_controle biológico de pragas e doenças.,prop_pratica_gradagem,prop_pratica_monocultura,prop_pratica_não usa,prop_pratica_pastagem nativa,prop_pratica_plantio convencional,prop_pratica_queimadas,prop_pratica_roça de toco,prop_pratica_uso de agrotóxicos,prop_any_pratica,mean_n_praticas
Abreulândia,Abreulândia,6,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,1.0
Aliança do Tocantins,Aliança do Tocantins,17,0.17647058823529413,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.23529411764705882,0.058823529411764705,0.0,0.23529411764705882,1.0,1.0
Almas,Almas,8,0.125,0.0,0.125,0.0,0.0,0.125,0.25,0.0,0.25,0.125,1.0,1.0
Alvorada,Alvorada,5,0.0,0.0,0.0,0.2,0.4,0.0,0.4,0.0,0.0,0.0,1.0,1.0
Ananás,Ananás,10,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.2,0.2,0.1,1.0,1.0
Angico,Angico,11,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,1.0,1.0
Aparecida do Rio Negro,Aparecida do Rio Negro,8,0.25,0.0,0.25,0.0,0.0,0.125,0.25,0.0,0.125,0.0,1.0,1.0
Aragominas,Aragominas,11,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,1.0,1.0
Araguanã,Araguanã,21,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.09523809523809523,1.0,1.0
Araguatins,Araguatins,13,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,1.0,1.0
Araguaçu,Araguaçu,11,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,1.0,1.0
Araguaína,Araguaína,19,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525,0.0,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,1.0,1.0
Aurora do Tocantins,Aurora do Tocantins,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,1.0,1.0
Axixá do Tocantins,Axixá do Tocantins,13,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.23076923076923078,1.0,1.0
Babaçulândia,Babaçulândia,9,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,1.0,1.0
Bandeirantes do Tocantins,Bandeirantes do Tocantins,10,0.2,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.2,1.0,1.0
Barrolândia,Barrolândia,12,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
Bom Jesus do Tocantins,Bom Jesus do Tocantins,8,0.25,0.0,0.25,0.0,0.0,0.125,0.125,0.125,0.125,0.0,1.0,1.0
Cachoeirinha,Cachoeirinha,5,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,1.0,1.0
Cariri do Tocantins,Cariri do Tocantins,8,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,1.0,1.0
Carmolândia,Carmolândia,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,1.0,1.0
Caseara,Caseara,13,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,1.0,1.0
Centenário,Centenário,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0
Chapada da Natividade,Chapada da Natividade,16,0.125,0.0,0.125,0.125,0.0625,0.125,0.125,0.125,0.125,0.0625,1.0,1.0
Chapada de Areia,Chapada de Areia,14,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.2857142857142857,0.0,0.07142857142857142,0.14285714285714285,1.0,1.0
Colméia,Colméia,11,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.2727272727272727,1.0,1.0
Couto Magalhães,Couto Magalhães,13,0.23076923076923078,0.0,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.0,1.0
Cristalândia,Cristalândia,16,0.1875,0.0,0.1875,0.0,0.1875,0.0625,0.0625,0.125,0.0,0.1875,1.0,1.0
Crixás do Tocantins,Crixás do Tocantins,5,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,1.0,1.0
Dianópolis,Dianópolis,23,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.13043478260869565,1.0,1.0
Divinópolis do Tocantins,Divinópolis do Tocantins,14,0.21428571428571427,0.0,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,1.0,1.0
Dueré,Dueré,8,0.25,0.0,0.25,0.0,0.0,0.125,0.375,0.0,0.0,0.0,1.0,1.0
Esperantina,Esperantina,8,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,1.0,1.0
Figueirópolis,Figueirópolis,9,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,1.0,1.0
Filadélfia,Filadélfia,24,0.16666666666666666,0.0,0.16666666666666666,0.125,0.125,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,1.0
Fortaleza do Tabocão,Fortaleza do Tabocão,4,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,1.0,1.0
Fátima,Fátima,10,0.2,0.0,0.2,0.2,0.0,0.1,0.2,0.0,0.0,0.1,1.0,1.0
Goiatins,Goiatins,7,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,1.0
Guaraí,Guaraí,13,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,1.0,1.0
Gurupi,Gurupi,11,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.09090909090909091,1.0,1.0
Ipueiras,Ipueiras,14,0.21428571428571427,0.0,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,1.0,1.0
Itaguatins,Itaguatins,8,0.25,0.0,0.25,0.0,0.0,0.125,0.25,0.0,0.0,0.125,1.0,1.0
Itaporã do Tocantins,Itaporã do Tocantins,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.0
Jaú do Tocantins,Jaú do Tocantins,13,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,1.0,1.0
Lagoa da Confusão,Lagoa da Confusão,13,0.23076923076923078,0.0,0.23076923076923078,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,1.0,1.0
Lajeado,Lajeado,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Luzinópolis,Luzinópolis,13,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,1.0,1.0
Marianópolis do Tocantins,Marianópolis do Tocantins,17,0.17647058823529413,0.0,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,0.0,0.17647058823529413,1.0,1.0
Miracema do Tocantins,Miracema do Tocantins,15,0.2,0.0,0.2,0.0,0.0,0.13333333333333333,0.2,0.0,0.06666666666666667,0.2,1.0,1.0
Miranorte,Miranorte,14,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,1.0,1.0
Monte Santo do Tocantins,Monte Santo do Tocantins,14,0.21428571428571427,0.0,0.21428571428571427,0.07142857142857142,0.0,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,1.0,1.0
Monte do Carmo,Monte do Carmo,12,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,1.0,1.0
Muricilândia,Muricilândia,10,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,1.0,1.0
Nova Olinda,Nova Olinda,21,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.14285714285714285,1.0,1.0
Nova Rosalândia,Nova Rosalândia,8,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,1.0,1.0
Novo Acordo,Novo Acordo,8,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.0,0.25,0.125,1.0,1.0
Novo Jardim,Novo Jardim,10,0.2,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.1,1.0,1.0
Palmas,Palmas,7,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,1.0,1.0
Palmeiras do Tocantins,Palmeiras do Tocantins,10,0.2,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.3,1.0,1.0
Palmeirópolis,Palmeirópolis,4,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,1.0,1.0
Paranã,Paranã,20,0.15,0.0,0.15,0.05,0.0,0.15,0.15,0.1,0.15,0.1,1.0,1.0
Paraíso do Tocantins,Paraíso do Tocantins,11,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,1.0,1.0
Pedro Afonso,Pedro Afonso,8,0.375,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.125,0.0,1.0,1.0
Peixe,Peixe,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,1.0,1.0
Piraquê,Piraquê,17,0.17647058823529413,0.0,0.17647058823529413,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.17647058823529413,1.0,1.0
Pium,Pium,18,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.16666666666666666,1.0,1.0
Ponte Alta do Bom Jesus,Ponte Alta do Bom Jesus,14,0.21428571428571427,0.0,0.21428571428571427,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,0.0,1.0,1.0
Porto Alegre do Tocantins,Porto Alegre do Tocantins,4,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0
Praia Norte,Praia Norte,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Pugmil,Pugmil,8,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,1.0,1.0
Riachinho,Riachinho,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,1.0,1.0
Rio Sono,Rio Sono,12,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,1.0,1.0
Rio da Conceição,Rio da Conceição,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,1.0,1.0
Rio dos Bois,Rio dos Bois,9,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,1.0,1.0
Santa Fé do Araguaia,Santa Fé do Araguaia,14,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,1.0,1.0
Santa Maria do Tocantins,Santa Maria do Tocantins,4,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.0,1.0
Santa Rita do Tocantins,Santa Rita do Tocantins,14,0.21428571428571427,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,0.21428571428571427,0.0,0.0,0.14285714285714285,1.0,1.0
Santa Terezinha do Tocantins,Santa Terezinha do Tocantins,15,0.2,0.0,0.2,0.0,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2,1.0,1.0
Silvanópolis,Silvanópolis,16,0.125,0.0,0.125,0.125,0.0,0.1875,0.125,0.125,0.0625,0.125,1.0,1.0
Sucupira,Sucupira,9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,1.0,1.0
São Bento do Tocantins,São Bento do Tocantins,4,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0
São Miguel do Tocantins,São Miguel do Tocantins,5,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,1.0,1.0
São Salvador do Tocantins,São Salvador do Tocantins,7,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,1.0,1.0
Sítio Novo do Tocantins,Sítio Novo do Tocantins,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0
Talismã,Talismã,10,0.2,0.0,0.2,0.0,0.1,0.0,0.2,0.2,0.1,0.0,1.0,1.0
Tocantínia,Tocantínia,12,0.25,0.0,0.25,0.0,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,1.0,1.0
Tupirama,Tupirama,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Wanderlândia,Wanderlândia,9,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,1.0,1.0
Xambioá,Xambioá,18,0.16666666666666666,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.16666666666666666,1.0,1.0
darcinópolis,darcinópolis,10,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.1,0.1,0.2,1.0,1.0
dois Irmãos do Tocantins,dois Irmãos do Tocantins,14,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,1.0,1.0
